period,file,url,status,bytes,sha256
2025-06,Composicao_de_Mercado_06_2025.csv,https://arquivosradar.sefaz.rs.gov.br/RadarMercadoGaucho/Dados_Abertos/Composicao_de_Mercado_06_2025.csv,DOWNLOADED,7088590,822e04265e584647da91bf93bf55ea964232ab153f14f4fa63112a34261f882e
2025-07,Composicao_de_Mercado_07_2025.csv,https://arquivosradar.sefaz.rs.gov.br/RadarMercadoGaucho/Dados_Abertos/Composicao_de_Mercado_07_2025.csv,DOWNLOADED,7329781,6d13c7db65e326665ec8c4974bbc1ace58702bd073dcc427085e393f32a31c8a
2025-08,Composicao_de_Mercado_08_2025.csv,https://arquivosradar.sefaz.rs.gov.br/RadarMercadoGaucho/Dados_Abertos/Composicao_de_Mercado_08_2025.csv,DOWNLOADED,7267691,22c42f6742832a25c26043736f0138758ebe43de83831a239da215de7868ad0c
2025-09,Composicao_de_Mercado_09_2025.csv,https://arquivosradar.sefaz.rs.gov.br/RadarMercadoGaucho/Dados_Abertos/Composicao_de_Mercado_09_2025.csv,DOWNLOADED,7364271,1d8e3644f195776823e48d3ef80fccba149b3427f039f8bf3a6a97fa84c5a754
2025-10,Composicao_de_Mercado_10_2025.csv,https://arquivosradar.sefaz.rs.gov.br/RadarMercadoGaucho/Dados_Abertos/Composicao_de_Mercado_10_2025.csv,DOWNLOADED,7442271,a684d5fbcd65ba0de15518767c802614fdd6705730e93c39d75f3ceb5236fcf5
2025-11,Composicao_de_Mercado_11_2025.csv,https://arquivosradar.sefaz.rs.gov.br/RadarMercadoGaucho/Dados_Abertos/Composicao_de_Mercado_11_2025.csv,DOWNLOADED,7314330,5c6a48d234d2acf3b15ac99f454171049ad093760955e3f073ab752e80995d2b
2025-12,Composicao_de_Mercado_12_2025.csv,https://arquivosradar.sefaz.rs.gov.br/RadarMercadoGaucho/Dados_Abertos/Composicao_de_Mercado_12_2025.csv,DOWNLOADED,7165687,99502fb5403b8286577daea67864d24ed1bf8fd4ed63dda282403a98575e308a
2026-01,Composicao_de_Mercado_01_2026.csv,https://arquivosradar.sefaz.rs.gov.br/RadarMercadoGaucho/Dados_Abertos/Composicao_de_Mercado_01_2026.csv,DOWNLOADED,7151093,c4b85c05f47516e203d1140a0b772047391d24e3e5e560dbaccabe75e803b471
2026-02,Composicao_de_Mercado_02_2026.csv,https://arquivosradar.sefaz.rs.gov.br/RadarMercadoGaucho/Dados_Abertos/Composicao_de_Mercado_02_2026.csv,DOWNLOADED,7132809,1f1e8dafd6c5ab9b6f4921749f1b3dfda5db4632976cf6dd06cc0b2ccb181215
2026-03,Composicao_de_Mercado_03_2026.csv,https://arquivosradar.sefaz.rs.gov.br/RadarMercadoGaucho/Dados_Abertos/Composicao_de_Mercado_03_2026.csv,DOWNLOADED,7446328,1dd0d4e08d68f7412c2d5a3280aee7a7cbe904ffd250ff7568f11664b2639759
2026-04,Composicao_de_Mercado_04_2026.csv,https://arquivosradar.sefaz.rs.gov.br/RadarMercadoGaucho/Dados_Abertos/Composicao_de_Mercado_04_2026.csv,DOWNLOADED,7361108,eb4fa5fc9f4e1cba2effe306908803daa5db8a9edef2d8587cdfb4300948ebad
2026-05,Composicao_de_Mercado_05_2026.csv,https://arquivosradar.sefaz.rs.gov.br/RadarMercadoGaucho/Dados_Abertos/Composicao_de_Mercado_05_2026.csv,DOWNLOADED,7366299,0096ac1a61aa1473ce3cae249fdcd9f10082113e50e2d619a8cef31ee69a80f6
2026-06,Composicao_de_Mercado_06_2026.csv,https://arquivosradar.sefaz.rs.gov.br/RadarMercadoGaucho/Dados_Abertos/Composicao_de_Mercado_06_2026.csv,DOWNLOADED,7452498,186867bbc8802d4c20d0901238fb055dc0a2167ab966cea73da2052f3489bc96
2026-07,Composicao_de_Mercado_07_2026.csv,https://arquivosradar.sefaz.rs.gov.br/RadarMercadoGaucho/Dados_Abertos/Composicao_de_Mercado_07_2026.csv,DOWNLOADED,7617938,2bf10a0194e9081994c246e09695485d87e621de6d82d1c831e82053929c14c8
2026-08,Composicao_de_Mercado_08_2026.csv,https://arquivosradar.sefaz.rs.gov.br/RadarMercadoGaucho/Dados_Abertos/Composicao_de_Mercado_08_2026.csv,DOWNLOADED,7607473,43b32b517e024eff1a37f86e155a77f976ca5f51ad4c16308c5b8b6b48ee3c46
