rank,cnpj,nome_credor,rubrica_orcamentaria,pago_par_R$,semantic_class,object_evidence,confidence,source,method_note
11,43463101000101,ABF DISTRIBUIDORA DE ALIMENTOS LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",360400.0,BENEFICIOS_SOCIAIS_BENS,gestão de benefícios eventuais; item exato não aberto,MEDIA,Portal PMSB /despesas — ação GESTÃO DE BENEFÍCIOS EVENTUAIS,Não presumir cesta básica sem objeto documental.
12,95592077000104,PLANALTO TRANSPORTES LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",313928.1,SERVICO_TRANSPORTE,transporte sanitário eletivo e benefícios eventuais relacionados a transporte,ALTA_ACAO,Portal PMSB /despesas — ações orçamentárias,Fornecedor de transporte; rubrica 3.3.90.32 não representa bem físico.
13,30468657000149,COMERCIO DE ALIMENTOS DAL MOLIN LTDA,MATERIAL DE CONSUMO,270931.06,ALIMENTOS_CONSUMO,fornecimento associado a merenda escolar e restaurante popular,MEDIA_ALTA,Portal PMSB /despesas — ações orçamentárias,Itens e condições ainda não abertos.
14,53326285000111,BRENNER COMERCIO AUTOMOTIVO LTDA.,EQUIPAMENTOS E MATERIAL PERMANENTE,257950.0,BEM_CAPITAL_VEICULOS,veículos para a Secretaria Municipal de Saúde,ALTA,https://saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/6140-extrato-de-contrato-no-05-2026-dcl-smpop,Objeto identificado por contrato 05/2026.
15,05238851000190,DBSELLER SERVICOS DE INFORMATICA LTDA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,187428.16,SERVICO_TIC,serviços de tecnologia da informação e comunicação,ALTA_RUBRICA_ACAO,Portal PMSB /despesas,Manutenção de sistema de informática e atividades administrativas.
16,56170867000140,EDITORA EDUCACIONAL CORREA LTDA.,MATERIAL DE CONSUMO,187200.0,MATERIAL_EDUCACIONAL_CULTURAL,materiais do Projeto Raízes Culturais – Uma Jornada pela Diversidade,ALTA,https://antigo.saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/6869-inexigibilidade-de-licitacao-36-2026-smpop-dcl,Inexigibilidade 36/2026; valor coincide com pagamento do par.
17,05090524000134,COSTA MACHADO & RODRIGUES LTDA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,184305.87,SERVICO_TIC,"serviços TIC em educação, administração e saúde",ALTA_RUBRICA_ACAO,Portal PMSB /despesas,Objeto específico por empenho ainda não aberto.
18,01778749000127,COMERCIAL UNYLUX LTDA,MATERIAL DE CONSUMO,167925.4,ILUMINACAO_MATERIAIS,materiais vinculados à manutenção do fundo municipal de iluminação,MEDIA_ALTA,Portal PMSB /despesas,Item exato não aberto.
19,00964245000139,BRINGHENTTI INDUSTRIA E COMERCIO LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",164400.0,BENEFICIOS_SOCIAIS_ITEM_NAO_IDENTIFICADO,gestão de benefícios eventuais/fundo estadual de assistência; item exato não aberto,BAIXA_MEDIA,Portal PMSB /despesas,Não classificar como bem padronizado sem documento.
20,08967207000141,INFISC - INTELIGÊNCIA EM TECNOLOGIA LTDA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,163023.5,SERVICO_TIC,tecnologia para manutenção do departamento de tributação,ALTA_RUBRICA_ACAO,Portal PMSB /despesas,Serviço especializado.
21,00331788006583,AIR LIQUIDE BRASIL LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",163023.04,SAUDE_ITEM_ESPECIALIZADO,despesa de média e alta complexidade; item exato não aberto,MEDIA,Portal PMSB /despesas,"Fornecedor Air Liquide sugere gases/soluções de saúde, mas item não deve ser inferido sem documento."
22,03990925000115,PLANET PAV COMERCIO DE ASFALTOS LTDA,MATERIAL DE CONSUMO,157350.0,INFRAESTRUTURA_MATERIAL,material ligado a vias urbanas e rurais,MEDIA_ALTA,Portal PMSB /despesas,Fornecedor de asfaltos; item exato precisa de documento.
23,11666105000362,DELLAMED S.A.,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",154204.13,SAUDE_REABILITACAO_EQUIPAMENTO,despesa vinculada à manutenção do CER; item exato não aberto,MEDIA,Portal PMSB /despesas,Fornecedor especializado; item precisa de documento.
24,54887860000118,MM PRODUTOS AUTOMOTIVOS LTDA.,MATERIAL DE CONSUMO,130475.2,AUTOPECAS_CONSUMO,materiais para manutenção de veículos/equipamentos e transporte escolar,MEDIA_ALTA,Portal PMSB /despesas,Itens heterogêneos; não tratar como categoria única.
25,27105456000172,MEDICENTRO COMERCIO DE MEDICAMENTOS LTDA,MATERIAL DE CONSUMO,125184.36,MEDICAMENTOS_SAUDE,material de consumo em atenção básica e média/alta complexidade,MEDIA_ALTA,Portal PMSB /despesas,Fornecedor de medicamentos; item exato não aberto.
26,05782733000149,CIAMED - DISTRIBUIDORA DE MEDICAMENTOS L,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",120562.0,MEDICAMENTOS_DISTRIBUICAO_GRATUITA,farmácia básica e demandas judiciais,ALTA_ACAO,Portal PMSB /despesas,Itens farmacêuticos específicos ainda não abertos.
27,55623647000161,GAMA PNEUS LTDA,MATERIAL DE CONSUMO,110213.78,PNEUS_AUTO_CONSUMO,materiais para manutenção de veículos/equipamentos,MEDIA_ALTA,Portal PMSB /despesas,Perfil do fornecedor sugere pneus; item exato precisa de documento.
28,14767899000187,GRA ASSESSORIA E CONSULTORIA EMNEGOCIOS,MATERIAL DE CONSUMO,105501.5,PECAS_MANUTENCAO_MAQUINAS,materiais para manutenção de veículos/equipamentos; parte associada a combustíveis,MEDIA_ALTA,Portal PMSB /despesas; https://www.saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/6794-inexigibilidade-de-licitacao-26-2026-smpop-dcl,Há instrumentos de exclusividade XCMG em 2026; não somar automaticamente todos os empenhos ao mesmo processo.
29,44734671002286,CRISTÁLIA PRODUTOS QUIMICOS FARMACEUTICO,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",103584.31,MEDICAMENTOS_DISTRIBUICAO_GRATUITA,farmácia básica e demandas judiciais,ALTA_ACAO,Portal PMSB /despesas,Fornecedor farmacêutico; item exato não aberto.
30,06294126000100,SOMA/RS PRODUTOS HOSPITALARES LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",93269.92,PRODUTOS_HOSPITALARES_DISTRIBUICAO,farmácia básica e demandas judiciais,ALTA_ACAO,Portal PMSB /despesas,Item exato não aberto.
31,26991097000135,SIGMA MAQUINAS E REPRESENTACOES LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,91200.0,BEM_CAPITAL_VEICULO,veículo para Secretaria Municipal de Saúde,ALTA,https://www.saoborja.rs.gov.br/index.php/vacinacao/itemlist/user/631-evellynbarnoremberg?start=190,"Contrato 141/2026, R$ 91.200."
32,19390998000297,GAMBATTO H1 VEICULOS LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,91000.0,BEM_CAPITAL_VEICULO,veículo para Secretaria Municipal de Saúde,ALTA,https://www.saoborja.rs.gov.br/index.php/vacinacao/itemlist/user/610-adrianapiegasdesouza?start=480,"Contrato 06/2026, R$ 91.000."
33,51978129000100,ARPL DISTRIBUIDORA LTDA,MATERIAL DE CONSUMO,90376.26,MATERIAL_EDUCACIONAL_CONSUMO,principalmente manutenção da educação infantil; item exato não aberto,MEDIA,Portal PMSB /despesas,Necessita termo/objeto.
34,33084691000299,ESSENCE DECOR LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,90363.0,EQUIPAMENTO_PERMANENTE_DIVERSO,"equipamentos em saúde, assistência, administração e educação; itens exatos não abertos",MEDIA,Portal PMSB /despesas,Fornecedor atende múltiplas funções.
35,03652030000170,CENTERMEDI COMÉRCIO DE PRODUTOS HOSPITAL,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",87816.1,MEDICAMENTOS_DISTRIBUICAO_GRATUITA,farmácia básica e demandas judiciais,ALTA_ACAO,Portal PMSB /despesas,Itens farmacêuticos específicos ainda não abertos.
