cnpj,nome_credor,rubrica,acao,pago_R$,empenhos,semantic_class,confidence,object_evidence,source,method_note
43463101000101,ABF DISTRIBUIDORA DE ALIMENTOS LTDA,MATERIAL DE CONSUMO,INICIAÇÃO A EDUCAÇÃO ALIMENTAR E NUTRICI,215102.91,8,ALIMENTOS_CONSUMO,MEDIA_ALTA,"fornecimento associado a merenda escolar, restaurante popular e unidades sociais/saúde",Portal PMSB /despesas — ações orçamentárias,Ação e perfil do fornecedor sustentam alimento/consumo; itens e condições ainda não abertos.
56170867000140,EDITORA EDUCACIONAL CORREA LTDA.,MATERIAL DE CONSUMO,MANUTENÇÃO DA EDUCAÇÃO INFANTIL - NOVOS,187200.0,1,MATERIAL_EDUCACIONAL_CULTURAL,ALTA,materiais do Projeto Raízes Culturais – Uma Jornada pela Diversidade,https://antigo.saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/6869-inexigibilidade-de-licitacao-36-2026-smpop-dcl,Inexigibilidade 36/2026; valor coincide com pagamento do par.
24604095000110,PRECISAO TRATAMENTO DE AGUA LTDA.,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,174549.79,3,UNCLASSIFIED,,,,
01778749000127,COMERCIAL UNYLUX LTDA,MATERIAL DE CONSUMO,MANUTENÇÃO DO FUNDO MUNICIPAL DE ILUMINA,166840.4,4,ILUMINACAO_MATERIAIS,MEDIA_ALTA,materiais vinculados à manutenção do fundo municipal de iluminação,Portal PMSB /despesas,Item exato não aberto.
02264781000157,CISMISSOES,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,165040.54,10,UNCLASSIFIED,,,,
08967207000141,INFISC - INTELIGÊNCIA EM TECNOLOGIA LTDA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,MANUTENÇÃO DO DEPARTAMENTO DE TRIBUTAÇÃO,163023.5,2,SERVICO_TIC,ALTA_RUBRICA_ACAO,tecnologia para manutenção do departamento de tributação,Portal PMSB /despesas,Serviço especializado.
00331788006583,AIR LIQUIDE BRASIL LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,163023.04,10,SAUDE_ITEM_ESPECIALIZADO,MEDIA,despesa de média e alta complexidade; item exato não aberto,Portal PMSB /despesas,"Fornecedor Air Liquide sugere gases/soluções de saúde, mas item não deve ser inferido sem documento."
03990925000115,PLANET PAV COMERCIO DE ASFALTOS LTDA,MATERIAL DE CONSUMO,VIAS URBANAS E RURAIS,157350.0,4,INFRAESTRUTURA_MATERIAL,MEDIA_ALTA,material ligado a vias urbanas e rurais,Portal PMSB /despesas,Fornecedor de asfaltos; item exato precisa de documento.
11666105000362,DELLAMED S.A.,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",MANUTENÇÃO DO CER,154204.13,5,SAUDE_REABILITACAO_EQUIPAMENTO,MEDIA,despesa vinculada à manutenção do CER; item exato não aberto,Portal PMSB /despesas,Fornecedor especializado; item precisa de documento.
05238851000190,DBSELLER SERVICOS DE INFORMATICA LTDA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,MANUTENÇÃO DO SISTEMA DE INFORMÁTICA,153746.72,2,SERVICO_TIC,ALTA_RUBRICA_ACAO,serviços de tecnologia da informação e comunicação,Portal PMSB /despesas,Manutenção de sistema de informática e atividades administrativas.
23870217000158,GLOBAL MED SERVICOS EM SAUDE LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,149085.3,5,UNCLASSIFIED,,,,
02405070000155,OLINA IRACEMA BALBE CORREA LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,MANUTENÇÃO DO TRANSPORTE ESCOLAR - ENSIN,146780.77,8,UNCLASSIFIED,,,,
00964245000139,BRINGHENTTI INDUSTRIA E COMERCIO LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",GESTÃO DE BENEFÍCIOS EVENTUAIS,130150.0,1,BENEFICIOS_SOCIAIS_ITEM_NAO_IDENTIFICADO,BAIXA_MEDIA,gestão de benefícios eventuais/fundo estadual de assistência; item exato não aberto,Portal PMSB /despesas,Não classificar como bem padronizado sem documento.
89161475000173,ASSOC RIOGR DE EMPR DE ASSIST TEC E EXTE,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,FOMENTO AO DESENVOLVIMENTO DA AGRICULTUR,130058.25,2,UNCLASSIFIED,,,,
27105456000172,MEDICENTRO COMERCIO DE MEDICAMENTOS LTDA,MATERIAL DE CONSUMO,ATENÇÃO BÁSICA,124331.16,4,MEDICAMENTOS_SAUDE,MEDIA_ALTA,material de consumo em atenção básica e média/alta complexidade,Portal PMSB /despesas,Fornecedor de medicamentos; item exato não aberto.
76669670000167,TRANSVEPAR TRANSPORTES E VEICULOS PARANÁ,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,MANUTENÇÃO DAS ATIVIDADES DA SECRETARIA,122626.36,9,UNCLASSIFIED,,,,
05782733000149,CIAMED - DISTRIBUIDORA DE MEDICAMENTOS L,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,120562.0,7,MEDICAMENTOS_DISTRIBUICAO_GRATUITA,ALTA_ACAO,farmácia básica e demandas judiciais,Portal PMSB /despesas,Itens farmacêuticos específicos ainda não abertos.
43463101000101,ABF DISTRIBUIDORA DE ALIMENTOS LTDA,MATERIAL DE CONSUMO,INICIAÇÃO À EDUCAÇÃO ALIMENTAR E NUTRICI,108592.07,9,ALIMENTOS_CONSUMO,MEDIA_ALTA,"fornecimento associado a merenda escolar, restaurante popular e unidades sociais/saúde",Portal PMSB /despesas — ações orçamentárias,Ação e perfil do fornecedor sustentam alimento/consumo; itens e condições ainda não abertos.
30468657000149,COMERCIO DE ALIMENTOS DAL MOLIN LTDA,MATERIAL DE CONSUMO,INICIAÇÃO À EDUCAÇÃO ALIMENTAR E NUTRICI,107667.01,4,ALIMENTOS_CONSUMO,MEDIA_ALTA,fornecimento associado a merenda escolar e restaurante popular,Portal PMSB /despesas — ações orçamentárias,Itens e condições ainda não abertos.
44734671002286,CRISTÁLIA PRODUTOS QUIMICOS FARMACEUTICO,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,103584.31,12,MEDICAMENTOS_DISTRIBUICAO_GRATUITA,ALTA_ACAO,farmácia básica e demandas judiciais,Portal PMSB /despesas,Fornecedor farmacêutico; item exato não aberto.
30468657000149,COMERCIO DE ALIMENTOS DAL MOLIN LTDA,MATERIAL DE CONSUMO,INICIAÇÃO A EDUCAÇÃO ALIMENTAR E NUTRICI,95266.13,8,ALIMENTOS_CONSUMO,MEDIA_ALTA,fornecimento associado a merenda escolar e restaurante popular,Portal PMSB /despesas — ações orçamentárias,Itens e condições ainda não abertos.
06294126000100,SOMA/RS PRODUTOS HOSPITALARES LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,93269.92,16,PRODUTOS_HOSPITALARES_DISTRIBUICAO,ALTA_ACAO,farmácia básica e demandas judiciais,Portal PMSB /despesas,Item exato não aberto.
26991097000135,SIGMA MAQUINAS E REPRESENTACOES LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,ATENÇÃO BÁSICA,91200.0,1,BEM_CAPITAL_VEICULO,ALTA,veículo para Secretaria Municipal de Saúde,https://www.saoborja.rs.gov.br/index.php/vacinacao/itemlist/user/631-evellynbarnoremberg?start=190,"Contrato 141/2026, R$ 91.200."
19390998000297,GAMBATTO H1 VEICULOS LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,PROGRAMA DE VIGILÂNCIA E PROMOÇÃO DA SAÚ,91000.0,1,BEM_CAPITAL_VEICULO,ALTA,veículo para Secretaria Municipal de Saúde,https://www.saoborja.rs.gov.br/index.php/vacinacao/itemlist/user/610-adrianapiegasdesouza?start=480,"Contrato 06/2026, R$ 91.000."
14767899000187,GRA ASSESSORIA E CONSULTORIA EMNEGOCIOS,MATERIAL DE CONSUMO,"MANUTENÇÃO DE IMÓVEIS, VEÍCULOS E EQUIPA",90497.75,15,PECAS_MANUTENCAO_MAQUINAS,MEDIA_ALTA,materiais para manutenção de veículos/equipamentos; parte associada a combustíveis,Portal PMSB /despesas; https://www.saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/6794-inexigibilidade-de-licitacao-26-2026-smpop-dcl,Há instrumentos de exclusividade XCMG em 2026; não somar automaticamente todos os empenhos ao mesmo processo.
03652030000170,CENTERMEDI COMÉRCIO DE PRODUTOS HOSPITAL,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,87816.1,10,MEDICAMENTOS_DISTRIBUICAO_GRATUITA,ALTA_ACAO,farmácia básica e demandas judiciais,Portal PMSB /despesas,Itens farmacêuticos específicos ainda não abertos.
41098601000166,MC FARMA LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,84000.0,4,UNCLASSIFIED,,,,
51601943000100,J. M. DE BITTENCOURT & CIA. LTDA.,OBRAS E INSTALAÇÕES,FUNDO MUNICIPAL DO IDOSO,83165.13,3,UNCLASSIFIED,,,,
10748403000177,INSTITUTO DE ANATOMIA PATOLOGICA E CITOP,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,82609.52,3,UNCLASSIFIED,,,,
04210265000175,ESSENCIAL ASSESSORIA TRIBUTÁRIA LTDA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,MANUTENÇÃO DO DEPARTAMENTO DE TRIBUTAÇÃO,82107.92,4,UNCLASSIFIED,,,,
05090524000134,COSTA MACHADO & RODRIGUES LTDA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,MANUTENÇÃO DA EDUCAÇÃO BÁSICA - SALÁRIO,78239.53,6,SERVICO_TIC,ALTA_RUBRICA_ACAO,"serviços TIC em educação, administração e saúde",Portal PMSB /despesas,Objeto específico por empenho ainda não aberto.
02520829000140,DIMASTER COMERCIO DE PRODUTOS HOSPITALAR,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,75766.25,9,UNCLASSIFIED,,,,
51978129000100,ARPL DISTRIBUIDORA LTDA,MATERIAL DE CONSUMO,MANUTENÇÃO DA EDUCAÇÃO INFANTIL - NOVOS,71876.14,3,MATERIAL_EDUCACIONAL_CONSUMO,MEDIA,principalmente manutenção da educação infantil; item exato não aberto,Portal PMSB /despesas,Necessita termo/objeto.
49333270000103,D C METZ COMERCIAL,EQUIPAMENTOS E MATERIAL PERMANENTE,MANUT.DA.EDUC.INFANT-FUNDEB 30%,71364.0,1,UNCLASSIFIED,,,,
07236167000103,TRI TELECOM LTDA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,MANUTENÇÃO DO SISTEMA DE INFORMÁTICA,70320.62,2,UNCLASSIFIED,,,,
12889035000102,INOVAMED HOSPITALAR LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,70242.26,18,UNCLASSIFIED,,,,
07752236000123,MEDILAR IMPORTACAO E DISTRIBUICAO DE PRO,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,63493.47,7,UNCLASSIFIED,,,,
74913013000198,CHULIPA AVALIACOES S/S,SERVIÇOS DE CONSULTORIA,RECADASTRAMENTO IMOBILIÁRIO,63000.0,2,UNCLASSIFIED,,,,
22525517000137,J.F COMERCIO DE MATERIAL E MEDICAMENTOS,MATERIAL DE CONSUMO,ATENÇÃO BÁSICA,60480.09,9,UNCLASSIFIED,,,,
24693328000280,IMPORTIRE IMPORTADORA E DISTRIBUIDORA DE,MATERIAL DE CONSUMO,"MANUTENÇÃO DE IMÓVEIS, VEÍCULOS E EQUIPA",59780.0,1,UNCLASSIFIED,,,,
76669670000167,TRANSVEPAR TRANSPORTES E VEICULOS PARANÁ,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,BLOCO DE PROTEÇÃO SOCIAL BÁSICA,59574.06,1,UNCLASSIFIED,,,,
55623647000161,GAMA PNEUS LTDA,MATERIAL DE CONSUMO,"MANUTENÇÃO DE IMÓVEIS, VEÍCULOS E EQUIPA",57875.9,1,PNEUS_AUTO_CONSUMO,MEDIA_ALTA,materiais para manutenção de veículos/equipamentos,Portal PMSB /despesas,Perfil do fornecedor sugere pneus; item exato precisa de documento.
73856593000166,PRATI DONADUZZI & CIA LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,53863.4,11,UNCLASSIFIED,,,,
50625983000120,MATEUS G DROPA SERVICOS MEDICOS LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,50985.9,5,UNCLASSIFIED,,,,
20657155000102,ILG COMERCIAL LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,50498.21,12,UNCLASSIFIED,,,,
63155462000106,RESIDENCIAL CASA VIVARE,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,48000.0,1,UNCLASSIFIED,,,,
16779255000304,ELETRO CENTRO COMERCIO DE PEÇAS E ELETRO,EQUIPAMENTOS E MATERIAL PERMANENTE,MANUT.DA.EDUC.INFANT-FUNDEB 30%,46800.0,1,UNCLASSIFIED,,,,
47820174000164,A MARINHO MOREIRA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,MANUTENÇÃO DA EDUCAÇÃO BÁSICA - SALÁRIO,46680.0,2,UNCLASSIFIED,,,,
05090524000134,COSTA MACHADO & RODRIGUES LTDA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,MANUTENÇÃO DAS ATIVIDADES DA SECRETARIA,45668.72,12,SERVICO_TIC,ALTA_RUBRICA_ACAO,"serviços TIC em educação, administração e saúde",Portal PMSB /despesas,Objeto específico por empenho ainda não aberto.
42470027000198,TBR CONSTRUCOES LTDA,OBRAS E INSTALAÇÕES,"PAVIMENTAÇÃO, CALÇAMENTO E DRENAGENS",45036.89,1,UNCLASSIFIED,,,,
76669670000167,TRANSVEPAR TRANSPORTES E VEICULOS PARANÁ,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,"MANUTENÇÃO DE IMÓVEIS, VEÍCULOS E EQUIPA",44997.92,2,UNCLASSIFIED,,,,
30050141000180,INLEGIS CONSULTORIA E TREINAMENTO EIRELI,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,CAPACITAÇÃO DE AGENTES POLÍTICOS,44720.0,22,UNCLASSIFIED,,,,
90180605000102,GENTE SEGURADORA S.A,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,TRANSPORTE SANITÁRIO ELETIVO,44350.79,2,UNCLASSIFIED,,,,
48566347000122,TELES SOLUCOES EMPRESARIAIS LTDA,MATERIAL DE CONSUMO,ATENÇÃO BÁSICA,42559.0,1,UNCLASSIFIED,,,,
33084691000299,ESSENCE DECOR LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,41652.0,4,EQUIPAMENTO_PERMANENTE_DIVERSO,MEDIA,"equipamentos em saúde, assistência, administração e educação; itens exatos não abertos",Portal PMSB /despesas,Fornecedor atende múltiplas funções.
20275382000173,DALBERTO CONSULTORIA E ASSESSORIA LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,MANUTENÇÃO DAS ATIVIDADES DA SECRETARIA,41417.74,3,UNCLASSIFIED,,,,
43463101000101,ABF DISTRIBUIDORA DE ALIMENTOS LTDA,MATERIAL DE CONSUMO,BLOC PROT SOC ESPEC MÉDIA E ALTA COMPLEX,40584.46,8,ALIMENTOS_CONSUMO,MEDIA_ALTA,"fornecimento associado a merenda escolar, restaurante popular e unidades sociais/saúde",Portal PMSB /despesas — ações orçamentárias,Ação e perfil do fornecedor sustentam alimento/consumo; itens e condições ainda não abertos.
30050141000180,INLEGIS CONSULTORIA E TREINAMENTO EIRELI,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,CAPACITAÇÃO DE AGENTES PÚBLICOS,40150.0,18,UNCLASSIFIED,,,,
90217225000197,AGRIMETAL INDUSTRIA E COM DE MAQUINAS LT,OBRAS E INSTALAÇÕES,PROGRAMA DE SANEAMENTO BÁSICO RURAL,39500.0,1,UNCLASSIFIED,,,,
88733811000142,FAMURS - FEDERAÇÃO DAS ASSOC. DE MUNICIP,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,MANUTENÇÃO DAS ATIVIDADES DO GABINETE DO,39483.47,1,UNCLASSIFIED,,,,
89704522000188,ASSOCIACAO DOS MUNICIPIOS DA FRONTEIRA O,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,MANUTENÇÃO DAS ATIVIDADES DO GABINETE DO,39200.0,1,UNCLASSIFIED,,,,
06244192000168,MSM CREATIVE CONFECCOES LTDA,MATERIAL DE CONSUMO,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVA,38256.0,3,UNCLASSIFIED,,,,
52692151000151,SAN ANGEL CONSTRUTORA LTDA,OBRAS E INSTALAÇÕES,MANUT.DA.EDUC.INFANT-FUNDEB 30%,37895.5,1,UNCLASSIFIED,,,,
08149396000145,DESIGN RICARDENSE - INDÚSTRIA DE MÓVEIS,EQUIPAMENTOS E MATERIAL PERMANENTE,MANUTENÇÃO DA EDUCAÇÃO BÁSICA - SALÁRIO,36706.2,2,UNCLASSIFIED,,,,
54887860000118,MM PRODUTOS AUTOMOTIVOS LTDA.,MATERIAL DE CONSUMO,MANUTENÇÃO DO TRANSPORTE ESCOLAR - ENSIN,36108.4,3,AUTOPECAS_CONSUMO,MEDIA_ALTA,materiais para manutenção de veículos/equipamentos e transporte escolar,Portal PMSB /despesas,Itens heterogêneos; não tratar como categoria única.
43463101000101,ABF DISTRIBUIDORA DE ALIMENTOS LTDA,MATERIAL DE CONSUMO,MANUTENÇÃO DO RESTAURANTE POPULAR,35436.4,8,ALIMENTOS_CONSUMO,MEDIA_ALTA,"fornecimento associado a merenda escolar, restaurante popular e unidades sociais/saúde",Portal PMSB /despesas — ações orçamentárias,Ação e perfil do fornecedor sustentam alimento/consumo; itens e condições ainda não abertos.
87519237000161,TELEVISAO URUGUAIANA LTDA.,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,REALIZAÇÃO E APOIO AOS FESTIVAIS DE MÚSI,35000.0,1,UNCLASSIFIED,,,,
92885888000105,PAUSE & PERIN - ADVOGADOS ASSOCIADOS,SERVIÇOS DE CONSULTORIA,MANUTENÇÃO DAS ATIVIDADES DO GABINETE DO,34954.67,2,UNCLASSIFIED,,,,
05340639000130,PRIME CONSULTORIA E ASSESSORIA EMPRESARI,MATERIAL DE CONSUMO,ATENÇÃO BÁSICA,34472.98,2,INTERMEDIACAO_ABASTECIMENTO,MEDIA_ALTA,gestão/administração de abastecimento de frota por cartão; pagamentos correntes aparecem em ações de transporte/saúde,https://saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/2912-extrato-de-contrato-n-144-2022,Instrumento histórico identifica intermediação; vínculo exato do pagamento 2026 ao mesmo instrumento ainda precisa ser reconciliado.
00964245000139,BRINGHENTTI INDUSTRIA E COMERCIO LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",MANUTENÇÃO DO FUNDO ESTADUAL DE ASSISTÊN,34250.0,1,BENEFICIOS_SOCIAIS_ITEM_NAO_IDENTIFICADO,BAIXA_MEDIA,gestão de benefícios eventuais/fundo estadual de assistência; item exato não aberto,Portal PMSB /despesas,Não classificar como bem padronizado sem documento.
08070693000109,COSTA PLANO DE ASSISTENCIA FAMILIAR E EM,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,TRANSPORTE SANITÁRIO ELETIVO,34000.0,1,UNCLASSIFIED,,,,
30483455000176,INSTITUTO DE ASSISTENCIA A SAUDE DOS SER,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,MANUTENÇÃO DAS ATIVIDADES DA SECRETARIA,33092.14,8,UNCLASSIFIED,,,,
24230368000104,ORTOMOBIL INDÚSTRIA E COMÉRCIO LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",MANUTENÇÃO DO CER,32267.76,6,UNCLASSIFIED,,,,
