year,date,contract_number,procurement_instrument,object,cnpj,observed_value_R$,value_basis,economic_origin,admin_channel,payment_evidence,overlap_group,source_url,limitations
2024,2024-08-29,105/2024,Inexigibilidade 27/2024,"Tomografias e ressonâncias sem contraste para demanda SUS acumulada",96488598000189,122212.00,"preço estimado/contratual observado","SUS/origem pública a decompor","Prefeitura/FMS → Fundação","NÃO — pagamento condicionado a execução/aprovação","IMAGING_2023_2024","https://transparencia.saoborja.rs.gov.br/acordos/view/1068","Censo 2024: ID 1068; processo no detalhe 20558/2024; crosswalk com licitacao_id 20870 / Inexigibilidade 27/2024. Censo integral de 152 detalhes encontrou apenas este contrato HIG em 2024. Valor contratual não comprova pagamento."
2025,2025-03-24,"124/2022 — 3º aditivo","3º termo aditivo ao Contrato 124/2022","Altera incentivo pré-fixado da Portaria GM/MS 1.992/2023: R$ 84.231,05 passa a ser repassado mensalmente de forma contínua a contar de jan/2025",96488598000189,84231.05,"valor mensal do componente, continuidade contratual","Federal","FNS/FMS → Fundação","NÃO — aditivo normativo/contratual","RENAL_124_2022","https://www.saoborja.rs.gov.br/images/DOESB/2025/Marco/doesb24_03_2025.pdf","Não anualizar nem somar ao R$ 1,263 mi de 2024 como se fossem instrumentos independentes; aditivo altera a temporalidade do mesmo componente."
2025,2025-06-05,"99/2021 — 21º aditivo","21º termo aditivo ao Contrato 99/2021","Implantação e custeio do programa estadual SERMulher",96488598000189,200000.00,"parcela única de implantação; há também R$ 125.000/mês de custeio","Estadual","SES-RS/FMS → Fundação","NÃO — aditivo publicado","CONTRACT_99_2021_STATE_PROGRAMS","https://www.saoborja.rs.gov.br/images/DOESB/2025/Junho/doesb05_06_2025.pdf","Além dos R$ 200 mil, o mesmo aditivo prevê R$ 125 mil mensais (R$ 1,5 mi/ano) conforme repasse do Fundo Estadual. Não somar sem janela de competência e execução."
2025,2025-03-24,"20/2022 — 3º aditivo","3º termo aditivo ao Contrato 20/2022","Locação das edificações do antigo Hospital São Francisco de Borja para programas municipais de saúde",96488598000189,36799.28,"valor mensal reajustado; vigência prorrogada até 17/03/2026","Relação contratual municipal de locação; origem orçamentária a verificar","Prefeitura → Fundação","NÃO — aditivo publicado","LEASE_20_2022","https://www.saoborja.rs.gov.br/images/DOESB/2025/Marco/doesb24_03_2025.pdf","Fluxo não assistencial. Não classificar automaticamente como receita hospitalar SUS; confirmar classificação contábil da Fundação e execução."
2021,2021-03-15,007/2021,PRD Dispensa 11/2021,"Auxílio COVID-19 para despesas de pessoal da Fundação",96488598000189,75000.00,"valor total exibido no detalhe oficial do contrato","Origem pública; programa emergencial, esfera a confirmar na execução","Prefeitura/FMS → Fundação","NÃO — contrato publicado","COVID_2021_PERSONNEL","https://transparencia.saoborja.rs.gov.br/acordos/view/460","Crosswalk fechado: PRD Dispensa 11/2021 → Contrato 7/2021. Contrato ≠ pagamento."
2021,2021-04-16,015/2021,PRD Dispensa 17/2021,"Auxílio COVID-19 para despesas de pessoal ligadas à tenda de triagem",96488598000189,20000.00,"valor total exibido no detalhe oficial do contrato","Origem pública; programa emergencial, esfera a confirmar na execução","Prefeitura/FMS → Fundação","NÃO — contrato publicado","COVID_2021_TRIAGE","https://transparencia.saoborja.rs.gov.br/acordos/view/469","Crosswalk fechado: PRD Dispensa 17/2021 → Contrato 15/2021. Contrato ≠ pagamento."
2021,2021-05-14,028/2021,PRD Dispensa 24/2021,"Auxílio COVID-19 para custeio de ações e serviços de saúde; três meses de R$30.000",96488598000189,90000.00,"valor total exibido no detalhe oficial do contrato","Origem pública; programa emergencial, esfera a confirmar na execução","Prefeitura/FMS → Fundação","NÃO — contrato publicado","COVID_2021_AID","https://transparencia.saoborja.rs.gov.br/acordos/view/483","Crosswalk fechado: PRD Dispensa 24/2021 → Contrato 28/2021. Contrato ≠ pagamento."
2021,2021-12-21,099/2021,Inexigibilidade 20/2021,"Prestação de serviços hospitalares de média e alta complexidade",96488598000189,28886405.93,"valor global estimado do instrumento histórico; Portal corrente exibe snapshot diferente","Mista / a decompor","Prefeitura/FMS → Fundação","NÃO — contrato/instrumento publicado","HOSPITAL_CONTRACT_99_2021","https://transparencia.saoborja.rs.gov.br/acordos/view/558","ID interno 558 validado. O Portal corrente exibe R$952.120,00 e longa cadeia de aditamentos; não substituir o valor global histórico nem tratar snapshot como pagamento."
2022,2022-01-31,007/2022,Inexigibilidade 3/2022,"Sobreaviso médico de urgência e emergência para pacientes SUS atendidos no HIG",96488598000189,3541338.48,"valor anual original; R$ 295.111,54/mês por 12 meses","SUS/origem pública a decompor","Prefeitura/FMS → Fundação","NÃO — contrato publicado","ONCALL_7_2022","https://www.saoborja.rs.gov.br/images/conteudo/Licitacoes/2022/PRI_03-2022.pdf","Valor original do instrumento. O snapshot corrente do Portal /acordos ID 568 é R$4.325.429,52 e não deve ser retroprojetado para 2022."
2022,2022-03-17,020/2022,Dispensa 6/2022,"Locação das edificações do antigo Hospital São Francisco de Borja para programas municipais de saúde",96488598000189,32246.39,"valor mensal original; prazo inicial de 12 meses","Relação contratual municipal de locação; origem orçamentária a verificar","Prefeitura → Fundação","NÃO — contrato publicado","LEASE_20_2022","https://saoborja.rs.gov.br/index.php/vacinacao/itemlist?start=4620","Fluxo não assistencial. Valor mensal original de 2022; snapshots/aditivos posteriores mostram reajustes. Não tratar como SUS nem como pagamento sem execução."
2022,2022-09-09,117/2022,Inexigibilidade 20/2022,"Tomografias e ressonâncias magnéticas de média e alta complexidade para pacientes SUS",96488598000189,366636.00,"valor total original do contrato","SUS/origem pública a decompor","Prefeitura/FMS → Fundação","NÃO — contrato publicado","IMAGING_117_2022","https://saoborja.rs.gov.br/index.php/vacinacao?start=4004","Valor histórico do instrumento. O snapshot corrente do Portal /acordos ID 678 é R$0,00; zero corrente não elimina o valor histórico nem prova ausência de execução."
