operator_key,raiz_referencia,operator_name_group,storefronts_cenario_base,share_unidades_base_pct,storefronts_sensibilidade,share_unidades_sensibilidade_pct,multi_storefront_flag,brand_pattern,segment_pattern,storefront_ids,cnpjs_referencia,marcas_storefronts,grupos_analiticos,operator_key_basis,limitacao
RAIZ_48341505,48341505,Bella Cestas & Presentes,1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_161,48341505000146,Bella Cestas & Presentes,CASA_UTILIDADES_PRESENTES_DECORACAO,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_88721220,88721220,Carol Modas,1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_141,88721220000155,Carol Modas,MODA_CALCADOS_ACESSORIOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_11496172,11496172,Elegância Moda e Acessórios,1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_134,11496172000114,Elegância Moda e Acessórios,MODA_CALCADOS_ACESSORIOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_50578611,50578611,Fantasia Agrolago Rações / Razão Social: Tusnel Segobia Lago (Cnpj 50.578.611/0001-90),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_197,50578611000190,Fantasia Agrolago Rações / Razão Social: Tusnel Segobia Lago (Cnpj 50.578.611/0001-90),PET_VETERINARIA_AGRO,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_19689111,19689111,Fantasia: 4 Patas / Razão Social: 4 Patas Pet Ltda. (Cnpj 19.689.111/0001-85),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_181,19689111000185,Fantasia: 4 Patas / Razão Social: 4 Patas Pet Ltda. (Cnpj 19.689.111/0001-85),PET_VETERINARIA_AGRO,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_62201625,62201625,Fantasia: 7 Povos Kids / Razão Social: Lenise Goulart Morgental (Cnpj 62.201.625/0001-79),1,0.82,0,0.00,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_122,62201625000179,Fantasia: 7 Povos Kids / Razão Social: Lenise Goulart Morgental (Cnpj 62.201.625/0001-79),MODA_CALCADOS_ACESSORIOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_06339679,06339679,Fantasia: 7 Povos Tchê! / Razão Social: Renato Cesar Prauchner (Cnpj 06.339.679/0001-24),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_124,06339679000124,Fantasia: 7 Povos Tchê! / Razão Social: Renato Cesar Prauchner (Cnpj 06.339.679/0001-24),MODA_CALCADOS_ACESSORIOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_62201240,62201240,Fantasia: 7 Povos Tecidos e Decorações / Razão Social: Renato Cesar Prauchner Ltda (Cnpj 62.201.240/0001-01),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_157,62201240000101,Fantasia: 7 Povos Tecidos e Decorações / Razão Social: Renato Cesar Prauchner Ltda (Cnpj 62.201.240/0001-01),ARMARINHO_TECIDOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_29263180,29263180,Fantasia: Agropecuária Centauro / Razão Social: Valdecir L. de Assunção (Cnpj 29.263.180/0001-86),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_201,29263180000186,Fantasia: Agropecuária Centauro / Razão Social: Valdecir L. de Assunção (Cnpj 29.263.180/0001-86),PET_VETERINARIA_AGRO,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_11263905,11263905,Fantasia: Agropecuaria Vieira / Razão Social: Neri T. Vieira Benites & Cia Ltda (Cnpj 11.263.905/0001-70),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_200,11263905000170,Fantasia: Agropecuaria Vieira / Razão Social: Neri T. Vieira Benites & Cia Ltda (Cnpj 11.263.905/0001-70),MISTO_MULTISSEGMENTO,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_32010824,32010824,Fantasia: Animed / Razão Social: Ana Carolina V. de Jesus & Cia Ltda. (Cnpj 32.010.824/0001-39),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_196,32010824000139,Fantasia: Animed / Razão Social: Ana Carolina V. de Jesus & Cia Ltda. (Cnpj 32.010.824/0001-39),PET_VETERINARIA_AGRO,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_92293703,92293703,Fantasia: Barraca Missões / Razão Social: Gfo Saúde e Nutrição Animal Ltda (Cnpj 92.293.703/0005-05),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_198,92293703000505,Fantasia: Barraca Missões / Razão Social: Gfo Saúde e Nutrição Animal Ltda (Cnpj 92.293.703/0005-05),PET_VETERINARIA_AGRO,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_12240712,12240712,Fantasia: Beleza Canina / Razão Social: Tiago Gavião Pereira (Cnpj 12.240.712/0001-67),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_192,12240712000167,Fantasia: Beleza Canina / Razão Social: Tiago Gavião Pereira (Cnpj 12.240.712/0001-67),PET_VETERINARIA_AGRO,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_23423360,23423360,Fantasia: Bellacasa / Razão Social: Theodoro Moraes Machado (Cnpj 23.423.360/0001-00),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_164,23423360000100,Fantasia: Bellacasa / Razão Social: Theodoro Moraes Machado (Cnpj 23.423.360/0001-00),CASA_UTILIDADES_PRESENTES_DECORACAO,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
OPERACAO_INV_188,,Fantasia: Bicho Mimado / Razão Social: Rogerio Flores Nascimento (Cnpj 22.663.567/0001-80),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_188,,Fantasia: Bicho Mimado / Razão Social: Rogerio Flores Nascimento (Cnpj 22.663.567/0001-80),PET_VETERINARIA_AGRO,CHAVE_SINTETICA_IDENTIDADE_JURIDICA_CORRENTE_PENDENTE,Participação calculada em número de storefronts; não representa faturamento ou market share. Identidade jurídica corrente pendente; chave sintética individual.
RAIZ_04258324,04258324,Fantasia: Cacio Moda Masculina / Razão Social: Vanessa Javares Miotti Ltda (Cnpj 04.258.324/0001-85),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_104,04258324000185,Fantasia: Cacio Moda Masculina / Razão Social: Vanessa Javares Miotti Ltda (Cnpj 04.258.324/0001-85),MODA_CALCADOS_ACESSORIOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_94012382,94012382,Fantasia: Camponesa New Fashion / Razão Social: Bortoluzzi e Campos LTDA (Cnpj 94.012.382/0001-17),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_98,94012382000117,Fantasia: Camponesa New Fashion / Razão Social: Bortoluzzi e Campos LTDA (Cnpj 94.012.382/0001-17),MODA_CALCADOS_ACESSORIOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_07574946,07574946,Fantasia: Camponesa Sapatu´s / Razão Social: Andreia Machado da Trindade (Cnpj 07.574.946/0002-91),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_153,07574946000291,Fantasia: Camponesa Sapatu´s / Razão Social: Andreia Machado da Trindade (Cnpj 07.574.946/0002-91),MODA_CALCADOS_ACESSORIOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_89224869,89224869,Fantasia: Casa A Favorita / Razão Social: Casa Favoritasb Ltda (Cnpj 05534303578),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_150,89224869000123,Fantasia: Casa A Favorita / Razão Social: Casa Favoritasb Ltda (Cnpj 05534303578),MODA_CALCADOS_ACESSORIOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_63588928,63588928,Fantasia: Casa de Rações Santhiago (Santhiago Shop) / Razão Social: Marcelino Olisan Brum de Oliveira Ltda (Cnpj 63.588.928/0001-59),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_191,63588928000159,Fantasia: Casa de Rações Santhiago (Santhiago Shop) / Razão Social: Marcelino Olisan Brum de Oliveira Ltda (Cnpj 63.588.928/0001-59),PET_VETERINARIA_AGRO,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_41726814,41726814,Fantasia: Cia do Uniforme / Razão Social: M da Cruz Oliveira Uniformes (Cnpj 41.726.814/0001-95),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_146,41726814000195,Fantasia: Cia do Uniforme / Razão Social: M da Cruz Oliveira Uniformes (Cnpj 41.726.814/0001-95),MODA_CALCADOS_ACESSORIOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_90134701,90134701,Fantasia: Ciranda Boutique / Razão Social: Sidinei Poerscke (Cnpj 90.134.701/0001-06),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_147,90134701000106,Fantasia: Ciranda Boutique / Razão Social: Sidinei Poerscke (Cnpj 90.134.701/0001-06),MODA_CALCADOS_ACESSORIOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_33964619,33964619,Fantasia: Clean Boutique / Razão Social: Angelica Fonseca Dias e Cia Ltda (Cnpj 33.964.619/0001-75),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_142,33964619000175,Fantasia: Clean Boutique / Razão Social: Angelica Fonseca Dias e Cia Ltda (Cnpj 33.964.619/0001-75),MODA_CALCADOS_ACESSORIOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_26003402,26003402,Fantasia: Comercial Loss / Razão Social: Laura Anklam de Lima (Cnpj 26.003.402/0001-33),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_178,26003402000133,Fantasia: Comercial Loss / Razão Social: Laura Anklam de Lima (Cnpj 26.003.402/0001-33),FERRAGENS_MATERIAIS_ELETRICOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_89271464,89271464,Fantasia: Consermaq / Razão Social: W. Gomes de Oliveira LTDA (Cnpj 89.271.464/0001-46),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_216,89271464000146,Fantasia: Consermaq / Razão Social: W. Gomes de Oliveira LTDA (Cnpj 89.271.464/0001-46),MISTO_MULTISSEGMENTO,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_28064447,28064447,Fantasia: D' Castro Camisaria / Razão Social: (Cnpj 28.064.447/0001-43),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_112,28064447000143,Fantasia: D' Castro Camisaria / Razão Social: (Cnpj 28.064.447/0001-43),MODA_CALCADOS_ACESSORIOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_29091514,29091514,Fantasia: Dona Nanda / Razão Social: Fernanda Bublitz Petterini (Cnpj 29.091.514/0001-81),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_136,29091514000181,Fantasia: Dona Nanda / Razão Social: Fernanda Bublitz Petterini (Cnpj 29.091.514/0001-81),MODA_CALCADOS_ACESSORIOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_60940561,60940561,Fantasia: Donna Amô / Razão Social: 60.940.561 Paola da Silva Cardoso (Cnpj 60.940.561/0001-00),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_135,60940561000100,Fantasia: Donna Amô / Razão Social: 60.940.561 Paola da Silva Cardoso (Cnpj 60.940.561/0001-00),MODA_CALCADOS_ACESSORIOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_13793236,13793236,Fantasia: Dress / Razão Social: Taline Ariel Kubaski - MEI (Cnpj 13.793.236/0001-74),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_99,13793236000174,Fantasia: Dress / Razão Social: Taline Ariel Kubaski - MEI (Cnpj 13.793.236/0001-74),MODA_CALCADOS_ACESSORIOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_00872980,00872980,Fantasia: Dunia Modas / Razão Social: Comercial de Vestuario Dunia Ltda (Cnpj 00.872.980/0001-12),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_133,00872980000112,Fantasia: Dunia Modas / Razão Social: Comercial de Vestuario Dunia Ltda (Cnpj 00.872.980/0001-12),MODA_CALCADOS_ACESSORIOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_20929450,20929450,Fantasia: Elite Artigos Militares / Razão Social: Elite Artigos Militares (Cnpj 20.929.450/0002-51),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_155,20929450000251,Fantasia: Elite Artigos Militares / Razão Social: Elite Artigos Militares (Cnpj 20.929.450/0002-51),ARTIGOS_MILITARES,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_51758623,51758623,Fantasia: Encanto Decor / Razão Social: Nathieli Cipolat Cervo (Cnpj 51.758.623/0001-69),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_162,51758623000169,Fantasia: Encanto Decor / Razão Social: Nathieli Cipolat Cervo (Cnpj 51.758.623/0001-69),CASA_UTILIDADES_PRESENTES_DECORACAO,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_47696043,47696043,Fantasia: Encanto Semijoias / Razão Social: Cibele Lago Robalo (Cnpj 47.696.043/0001-17),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_211,47696043000117,Fantasia: Encanto Semijoias / Razão Social: Cibele Lago Robalo (Cnpj 47.696.043/0001-17),JOALHERIA_OPTICA_RELOJOARIA,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_26102738,26102738,Fantasia: Esmeralda Joias / Razão Social: Esmeralda Joias Ltda (Cnpj 26.102.738/0001-53),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_207,26102738000153,Fantasia: Esmeralda Joias / Razão Social: Esmeralda Joias Ltda (Cnpj 26.102.738/0001-53),JOALHERIA_OPTICA_RELOJOARIA,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_35261575,35261575,Fantasia: Eva Pet Shop / Razão Social: Lenise Cristina Carvalho de Abreu (Cnpj 35.261.575/0001-42),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_186,35261575000142,Fantasia: Eva Pet Shop / Razão Social: Lenise Cristina Carvalho de Abreu (Cnpj 35.261.575/0001-42),PET_VETERINARIA_AGRO,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_46083011,46083011,Fantasia: Excêntrica / Razão Social: Rubia Lamana Quoos (Cnpj 18.283.007/0001-23),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_127,46083011000183,Fantasia: Excêntrica / Razão Social: Rubia Lamana Quoos (Cnpj 18.283.007/0001-23),MODA_CALCADOS_ACESSORIOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_45486913,45486913,Fantasia: Exclusiva Moda Plus / Razão Social: Flavio Lourenco da Silva (Cnpj 45.486.913/0001-06),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_139,45486913000106,Fantasia: Exclusiva Moda Plus / Razão Social: Flavio Lourenco da Silva (Cnpj 45.486.913/0001-06),MODA_CALCADOS_ACESSORIOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_49552224,49552224,Fantasia: Finger Joias / Razão Social: Micheli Redel Finger (Cnpj 49.552.224/0001-03),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_203,49552224000103,Fantasia: Finger Joias / Razão Social: Micheli Redel Finger (Cnpj 49.552.224/0001-03),JOALHERIA_OPTICA_RELOJOARIA,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_92691104,92691104,Fantasia: Gaffiti Papelaria e Xerox / Razão Social: Algacir Jose Bertuol (Cnpj 92.691.104/0001-08),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_214,92691104000108,Fantasia: Gaffiti Papelaria e Xerox / Razão Social: Algacir Jose Bertuol (Cnpj 92.691.104/0001-08),PAPELARIA,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_41860517,41860517,Fantasia: Happy Pets / Razão Social: Isabelle Victoria Feltrin Ltda (Cnpj 41.860.517/0001-38),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_180,41860517000138,Fantasia: Happy Pets / Razão Social: Isabelle Victoria Feltrin Ltda (Cnpj 41.860.517/0001-38),PET_VETERINARIA_AGRO,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_09674510,09674510,Fantasia: Iluminar Materiais Eletricos e Ferragens / Razão Social: Lopes & Gruendemann Comercio de Materiais Eletricos LTDA (Cnpj 09.674.510/0001-19),1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_167,09674510000119,Fantasia: Iluminar Materiais Eletricos e Ferragens / Razão Social: Lopes & Gruendemann Comercio de Materiais Eletricos LTDA (Cnpj 09.674.510/0001-19),FERRAGENS_MATERIAIS_ELETRICOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
