sheet_row,inventario_nome,subcategoria,cnpj,raiz,status_provisorio,classe_fechamento,situacao_auditoria,evidencia,decisao_provisoria,limitacao,proxima_acao,registro_lote,bloqueio_estrutural
122,Fantasia: 7 Povos Kids / Razão Social: Lenise Goulart Morgental (Cnpj 62.201.625/0001-79),"Loja de Roupas, Sapatos e Assessórios",62201625000179,62201625,CNPJ_SITUACAO_CADASTRAL_CONFLITANTE_ATIVA_VS_BAIXADA,CONFLITO_CADASTRAL,CONFLITO_ATIVA_BAIXADA,Fichas específicas Casa dos Dados/CNPJ.biz apresentam ATIVA; listagem genérica recuperada apresenta BAIXADA,,Conflito não deve ser resolvido por maioria de fontes; ausência de data da suposta baixa,Priorizar RFB oficial/base integral e evidência fiscal/municipal recente,L06-01,SIM
124,Fantasia: 7 Povos Tchê! / Razão Social: Renato Cesar Prauchner (Cnpj 06.339.679/0001-24),"Loja de Roupas, Sapatos e Assessórios",06339679000124,06339679,CNPJ_SECUNDARIO_ATIVO_MARCA_OPERACIONAL_COMPATIVEL,ATIVO_COM_RECONCILIACAO,ATIVA_EM_EVIDENCIA,ATIVA; matriz; vestuário; lista local 22/04/2026 confirma 7 Povos Tchê no mesmo endereço,,Não presumir rede societária apenas pelo nome 7 Povos,Confirmar RFB e tratar cada raiz separadamente,L06-02,NÃO
127,Fantasia: Excêntrica / Razão Social: Rubia Lamana Quoos (Cnpj 18.283.007/0001-23),"Loja de Roupas e Assessórios (obs. cnpj baixado, instagram atualizado) ",18283007000123,18283007,CNPJ_DOCUMENTAL_BAIXADO_MARCA_OPERACIONAL_POSSIVEL,BAIXADO_COM_RECONCILIACAO,BAIXADA_EM_FONTE,CNPJ.biz: BAIXADA desde 24/05/2022; encerramento/liquidação voluntária,,Fonte secundária; atividade digital da marca não prova operação sob este CNPJ,Identificar eventual novo CNPJ antes de contar oferta ativa,,SIM
128,Fantasia: MAXX Outlet / Razão Social: Rm2S Ltda (Cnpj 58.434.608/0010-03) / Filial,"Loja de Roupas, Sapatos e Assessórios",58434608001003,58434608,CNPJ_SECUNDARIO_ATIVO_MARCA_MAXX_NAO_REVALIDADA,ATIVO_COM_RECONCILIACAO,ATIVA_EM_EVIDENCIA,ATIVA; filial; aberta 21/01/2026; Rua General Osorio 2251,,"Revalidação confirma pessoa jurídica, não a marca de fachada",Buscar fonte operacional/primeira parte da marca,L03-04,NÃO
129,Fantasia: Studio Live! São Borja / Razão Social: Otto Comercio e Vestuario LTDA (Cnpj 48.191.706/0001-04) /,Loja de Roupas (esportivas),48191706000104,48191706,CNPJ_SECUNDARIO_ATIVO_MARCA_STUDIO_LIVE_NAO_REVALIDADA,ATIVO_COM_RECONCILIACAO,ATIVA_EM_EVIDENCIA,ATIVA; matriz; vestuário; Rua Eddie Freire Nunes 1994 Sala 102,,"Fonte revalida pessoa jurídica, não franquia/licença de marca",Buscar localizador/primeira parte da Live! e confirmar vínculo,L06-03,NÃO
131,Fantasia: Original Store / Razão Social: Comercio de Confeccoes Silveira & Severo Ltda (Cnpj 18.382.369/0003-33),"Loja de Roupas, Sapatos e Assessórios",18382369000333,18382369,CNPJ_SECUNDARIO_ATIVO_MARCA_OPERACIONAL_COMPATIVEL,ATIVO_COM_RECONCILIACAO,ATIVA_EM_EVIDENCIA,ATIVA; filial; fantasia Original Store; lista local apresenta Hering Original Store no mesmo endereço,,Presença e marca não comprovam natureza de franquia/licenciamento,Confirmar RFB direta; preservar razão social × marca,L06-04,NÃO
133,Fantasia: Dunia Modas / Razão Social: Comercial de Vestuario Dunia Ltda (Cnpj 00.872.980/0001-12),"Loja de Roupas, Sapatos e Assessórios",00872980000112,00872980,CNPJ_SECUNDARIO_ATIVO_PRESENCA_DIGITAL_CNPJ_COMPATIVEL,ATIVO_COMPATIVEL,ATIVA_EM_EVIDENCIA,ATIVA; matriz; Dunia Modas; presença recente como seller no Magalu com mesmo CNPJ/endereço,,"Marketplace demonstra atividade digital recente, não volume de vendas",Confirmar RFB oficial; preservar canal digital como evidência separada,L06-05,NÃO
135,Fantasia: Donna Amô / Razão Social: 60.940.561 Paola da Silva Cardoso (Cnpj 60.940.561/0001-00),"Loja de Roupas, Sapatos e Assessórios",60940561000100,60940561,CNPJ_SECUNDARIO_ATIVO_MARCA_DONNA_AMO_NAO_REVALIDADA,ATIVO_COM_RECONCILIACAO,ATIVA_EM_EVIDENCIA,ATIVA; aberta 21/05/2025; vestuário; Rua Aparicio Mariense 2611 Sala 03,,"Fonte revalida pessoa jurídica, não marca de fachada",Buscar primeira parte/redes da marca e confirmar RFB,L06-06,NÃO
136,Fantasia: Dona Nanda / Razão Social: Fernanda Bublitz Petterini (Cnpj 29.091.514/0001-81),"Loja de Roupas, Sapatos e Assessórios",29091514000181,29091514,CNPJ_SECUNDARIO_ATIVO_MARCA_GRAFIA_RECONCILIADA,ATIVO_COM_RECONCILIACAO,ATIVA_EM_EVIDENCIA,ATIVA; matriz; fantasia Donna Nanda; Rua General Osorio 2079,,Correção de grafia não constitui novo operador,"Confirmar RFB e, se possível, primeira parte da marca",L06-07,NÃO
137,Fantasia: Stilo Modas / Razão Social: Marlise Neubuser Cezar (Cnpj 22.560.258/0001-85),"Loja de Roupas, Sapatos e Assessórios",22560258000185,22560258,CNPJ_SECUNDARIO_ATIVO_MARCA_STILO_MODAS_NAO_REVALIDADA,ATIVO_COM_RECONCILIACAO,ATIVA_EM_EVIDENCIA,ATIVA; matriz; vestuário; Rua General Marques 1097 Salas 4 e 5,,Uma fonte cadastral nesta rodada; nome fantasia ausente,Triangular com segunda fonte/primeira parte e confirmar RFB,L06-08,NÃO
138,Fantasia: Lojas Lebes / Razão Social: Drebes & Cia LTDA (Cnpj 96.662.168/0365-94),Loja de Roupas e Eletrodomésticos,96662168036594,96662168,CNPJ_SECUNDARIO_ATIVO_PRESENCA_OFICIAL_COMPATIVEL,ATIVO_COMPATIVEL,ATIVA_EM_EVIDENCIA,CNPJ listado como filial ativa em base cadastral; localizador oficial mantém Loja 155 no mesmo endereço,,"Localizador oficial confirma operação/endereço, não CNPJ da filial",Confirmar RFB oficial,L01-09,NÃO
139,Fantasia: Exclusiva Moda Plus / Razão Social: Flavio Lourenco da Silva (Cnpj 45.486.913/0001-06),Loja de Roupas e Assessórios,45486913000106,45486913,CNPJ_SECUNDARIO_ATIVO_COMPATIVEL,ATIVO_COMPATIVEL,ATIVA_EM_EVIDENCIA,ATIVA; matriz; Exclusiva Moda Plus; Rua General Marques 1154 Sala 2; vestuário como atividade secundária,,Classificação do inventário é mercadológica e não deve ser confundida com CNAE principal,Confirmar RFB oficial e preservar classificação setorial com nota,L07-01,NÃO
140,Fantasia: Loja Top 20 (Top Store) / Razão Social: Suelen Bastos Rodrigues (Cnpj 34.542.287/0001-01),Loja de Roupas e Assessórios,34542287000101,34542287,CNPJ_DOCUMENTAL_BAIXADO_DESDE_2020,BAIXADO,BAIXADA_EM_FONTE,BAIXADA desde 29/02/2020 por encerramento/liquidação voluntária,,Baixa do CNPJ não prova encerramento definitivo da marca Top Store,Buscar eventual CNPJ sucessor antes de fechar oferta,L07-02,SIM
142,Fantasia: Clean Boutique / Razão Social: Angelica Fonseca Dias e Cia Ltda (Cnpj 33.964.619/0001-75),"Loja de Roupas, Sapatos e Assessórios",33964619000175,33964619,CNPJ_SECUNDARIO_ATIVO_COMPATIVEL,ATIVO_COMPATIVEL,ATIVA_EM_EVIDENCIA,ATIVA; matriz; Clean Boutique; Rua General Osorio 2305 Sala 102,,Filial em Santo Ângelo não integra o mercado municipal de São Borja,Confirmar RFB oficial,L07-03,NÃO
143,Fantasia: Lucky Store / Razão Social: Zuhdi & Cia Ltda (Cnpj 17.434.253/0001-76),"Loja de Roupas, Sapatos e Assessórios",17434253000176,17434253,CNPJ_SECUNDARIO_ATIVO_COMPATIVEL,ATIVO_COMPATIVEL,ATIVA_EM_EVIDENCIA,ATIVA; matriz; Lucky Store; CNAE principal vestuário e secundário calçados,,Uma fonte cadastral substantiva nesta rodada,Triangular com segunda fonte/primeira parte e confirmar RFB,L07-04,NÃO
144,Fantasia: Mundi Calçados / Razão Social: Calcemoda Comercio de Calcados LTDA (Cnpj 38.128.053/0001-65),"Loja de Roupas, Sapatos e Assessórios",38128053000165,38128053,CNPJ_NAO_REVALIDADO_STATUS_MARCA_RAZAO_ENDERECO_COMPATIVEIS,STATUS_CADASTRAL_PENDENTE,STATUS_ATUAL_NAO_CONFIRMADO,Diretórios atuais listam Mundi Calçados e Calcemoda no mesmo endereço; JUCISRS registra constituição da Calcemoda,,Presença em diretório não substitui situação cadastral RFB; associação marca↔razão social é espacial/nominal,Buscar RFB/base integral ou IE/NFC-e,L07-05,SIM
145,Fantasia: Oka Tia Sinha / Razão Social: Renata Andres (Cnpj 94.175.528/0001-45),Loja de Roupas e Assessórios,94175528000145,94175528,CNPJ_SECUNDARIO_ATIVO_COMPATIVEL,ATIVO_COMPATIVEL,ATIVA_EM_EVIDENCIA,ATIVA; matriz; Oka Tia Sinha; CNAE principal vestuário,,Fontes secundárias; não medem intensidade operacional,Confirmar RFB oficial,L07-06,NÃO
146,Fantasia: Cia do Uniforme / Razão Social: M da Cruz Oliveira Uniformes (Cnpj 41.726.814/0001-95),Loja de Roupas (Uniformes com pronta entrega),41726814000195,41726814,CNPJ_NAO_REVALIDADO_STATUS_PRESENCA_OPERACIONAL_COMPATIVEL,STATUS_CADASTRAL_PENDENTE,STATUS_ATUAL_NAO_CONFIRMADO,Diretórios atuais listam M Da Cruz Oliveira Uniformes e Cia do Uniforme no mesmo endereço; JUCISRS registra constituição/alteração,,"Diretórios sugerem operação, mas não exibem situação cadastral do CNPJ exato","Buscar RFB/base integral, IE ou documento fiscal recente",L07-07,SIM
147,Fantasia: Ciranda Boutique / Razão Social: Sidinei Poerscke (Cnpj 90.134.701/0001-06),Loja de Roupas (Infantil até 12 meses),90134701000106,90134701,CNPJ_IDENTIDADE_REVALIDADA_STATUS_ATUAL_NAO_CONFIRMADO,STATUS_CADASTRAL_PENDENTE,STATUS_ATUAL_NAO_CONFIRMADO,"CNPJ, fantasia, titular, endereço e CNAE compatíveis em compilação recente; status atual não confirmado",,Registro compilado não prova atividade atual em 2026,Buscar RFB/base integral e presença operacional recente,L07-08,SIM
148,Fantasia: Loja UP São Borja (Pedrangel Calcados) / Razão Social: Pedrangel Comercio de Calcados e Vestuarios Ltda. (Cnpj 08.835.108/0001-06),Loja de Sapatos,08835108000106,08835108,CNPJ_SECUNDARIO_ATIVO_MARCA_LOJA_UP_ENDERECO_COMPATIVEL,ATIVO_COM_RECONCILIACAO,ATIVA_EM_EVIDENCIA,ATIVA; matriz; Pedrangel Calcados; Loja UP permanece no mesmo endereço,,Diretório não prova natureza contratual da marca; distinguir fantasia cadastral de marca operacional,Confirmar RFB direta e preservar campos separados,L08-01,NÃO
149,Fantasia: Santa Clara Confecções e Calçados / Razão Social: Angela Mari Faguaga Siqueira Ltda (Cnpj 01.800.560/0001-93),Loja de Sapatos,01800560000193,01800560,CNPJ_SECUNDARIO_ATIVO_ENDERECO_COMERCIAL_DIVERGENTE,ATIVO_COM_RECONCILIACAO,ATIVA_EM_EVIDENCIA,ATIVA; matriz; CNAE principal calçados; cadastro Rua General Osorio 1974 Loja 01; diretório lista Santa Clara em General Osorio 2060,,Mudança de ponto ou endereço operacional diferente não pode ser presumida sem dimensão temporal,Buscar primeira parte/nota fiscal recente e confirmar RFB,L08-02,NÃO
151,Fantasia: LF Calçados (Gf Gerson Fernandez) / Razão Social: Gerson Jair Peroty Fernandez Ltda (Cnpj 09.148.429/0001-03),Loja de Sapatos,09148429000103,09148429,CNPJ_SECUNDARIO_ATIVO_MARCA_LF_NAO_REVALIDADA,ATIVO_COM_RECONCILIACAO,ATIVA_EM_EVIDENCIA,ATIVA; matriz; fantasia cadastral GF Gerson Fernandez; CNAE principal calçados,,"Fontes sustentam GF Gerson Fernandez, não LF Calçados",Buscar primeira parte/redes sociais e confirmar RFB,L08-03,NÃO
152,Fantasia: Menta Pimenta Calçados / Razão Social: Menta Pimenta Calçados Ltda (Cnpj 18.627.385/0001-87),Loja de Sapatos,18627385000187,18627385,CNPJ_NAO_REVALIDADO_STATUS_PRESENCA_MARCA_COMPATIVEL,STATUS_CADASTRAL_PENDENTE,STATUS_ATUAL_NAO_CONFIRMADO,Marca/razão social continuam presentes em diretórios atuais; filial da mesma raiz /0003-49 localizada em Santiago,,Filial de Santiago não integra oferta municipal; diretórios não substituem situação RFB,Buscar RFB/base integral e documento fiscal/IE de São Borja,L08-04,SIM
153,Fantasia: Camponesa Sapatu´s / Razão Social: Andreia Machado da Trindade (Cnpj 07.574.946/0002-91),Loja de Sapatos,07574946000291,07574946,CNPJ_SECUNDARIO_ATIVO_PRESENCA_DIGITAL_MARCA_COMPATIVEL,ATIVO_COM_RECONCILIACAO,ATIVA_EM_EVIDENCIA,ATIVA; filial; CNAE calçados; Magalu confirma seller Camponesa Sapatu's Sb com o mesmo CNPJ,,"Marketplace demonstra atividade comercial recente, não substitui cadastro nem mede faturamento",Confirmar RFB e definir endereço cadastral vs loja física,L08-05,NÃO
155,Fantasia: Elite Artigos Militares / Razão Social: Elite Artigos Militares (Cnpj 20.929.450/0002-51),Loja de Artigos Militares,20929450000251,20929450,CNPJ_ATIVO_MARCA_ELITE_RAIZ_CONFIRMADA_RAZAO_SOCIAL_CORRIGENDA,ATIVO_COM_RECONCILIACAO,ATIVA_EM_EVIDENCIA,ATIVA; filial; razão social Cedenir Kerpel Colpo Ltda; site oficial Elite informa matriz /0001-70 e filial São Borja no mesmo endereço,,Site oficial não publica explicitamente CNPJ da filial; vínculo é triangulado pela mesma raiz e endereço,Confirmar RFB direta e registrar matriz/filial separadamente,L08-06,SIM
156,Fantasia: Rilu Armarinhos e Presentes / Razão Social: Teresinha Socoloski (Cnpj 90.859.091/0001-08),"Loja de artigos de armarinho (Obs. cnpj baixado, mas redes sociais ativas com ofertas)",90859091000108,90859091,CNPJ_DOCUMENTAL_BAIXADO_MARCA_OPERACIONAL_POSSIVEL,BAIXADO_COM_RECONCILIACAO,BAIXADA_EM_FONTE,CNPJ.biz: BAIXADA desde 09/05/2019; encerramento/liquidação voluntária,,Fonte secundária; redes sociais podem pertencer a outro CNPJ,Identificar eventual novo CNPJ antes de contar oferta ativa,,SIM
157,Fantasia: 7 Povos Tecidos e Decorações / Razão Social: Renato Cesar Prauchner Ltda (Cnpj 62.201.240/0001-01),Loja de artigos de armarinho,62201240000101,62201240,CNPJ_SECUNDARIO_ATIVO_FANTASIA_7_POVOS_TECIDOS,ATIVO_COM_RECONCILIACAO,ATIVA_EM_EVIDENCIA,ATIVA; matriz; aberta 13/08/2025; CNAE principal armarinho; secundário tecidos,,Nome 7 Povos aparece em outras raízes e não prova rede societária,Confirmar RFB direta; manter cluster por CNPJ/raiz,L09-01,NÃO
