prioridade,impacto,origem,sheet_row,operador_marca,cnpj,raiz,status_origem,regra_inclusao,pendencia,lote_origem,observacao
P1,IDENTIDADE_UNIDADE_SUCESSAO_OU_FUNCAO_FISICA,CNPJ_EXTERNO_AOS_103,ADICIONAL_RAIZ_59205031,Mariza Matoso Pedebos Ltda — matriz,59205031000121,59205031,ADICIONAL_RAIZ,PENDENTE_FUNCAO_FISICA_DA_UNIDADE,FUNCAO_FISICA_STORE_FRONT_VS_OUTRA_UNIDADE,L12-02,Adicionar ao controle; não ao denominador canônico ainda
P1,IDENTIDADE_UNIDADE_SUCESSAO_OU_FUNCAO_FISICA,CNPJ_EXTERNO_AOS_103,160,Amei Presentes Criativos,66405682000120,66405682,SUCESSOR_CANDIDATO,PENDENTE_COMPROVAR_SUCESSAO_DA_MARCA,VINCULO_EXPLICITO_MARCA_SUCESSOR,L18-03,Registrar 30650368000166 como histórico e 66405682000120 como sucessor candidato; não preencher corrente canônico ainda
P1,IDENTIDADE_UNIDADE_SUCESSAO_OU_FUNCAO_FISICA,CNPJ_ORIGINAL_103,188,Fantasia: Bicho Mimado / Razão Social: Rogerio Flores Nascimento (Cnpj 22.663.567/0001-80),22663567000180,22663567,P0_RESOLVIDO_MARCA_OPERACIONAL_CNPJ_INAPTO,INCLUIR_OPERACAO_CNPJ_CORRENTE_P1,IDENTIFICAR_CNPJ_CORRENTE_DA_MARCA,L21-04,Bicho Mimado operacionalmente atual; não usar 22.663.567/0001-80 como ativo cadastral.
P1,IDENTIDADE_UNIDADE_SUCESSAO_OU_FUNCAO_FISICA,LINHA_SEM_CNPJ_NAO_RESOLVIDA,189,Pet House,,,P0_RESOLVIDO_OPERADOR_ATUAL_SEM_CNPJ,INCLUIR_OPERADOR_SEM_CNPJ_IDENTIDADE_P1,IDENTIFICAR_PESSOA_JURIDICA_CNPJ,L21-05,Pet House entra no cenário operacional; identidade jurídica segue pendente.
P1,IDENTIDADE_UNIDADE_SUCESSAO_OU_FUNCAO_FISICA,CNPJ_EXTERNO_AOS_103,213,Marco Relojoeiro,87236758000101,87236758,CANDIDATO_FORTE_LINHA_SEM_CNPJ,PENDENTE_VINCULO_DIRETO_MARCA_CNPJ,VINCULO_EXPLICITO_MARCA_CNPJ,L18-06,Manter 87236758000101 como candidato forte; não preencher canonicamente ainda
P1,IDENTIDADE_UNIDADE_SUCESSAO_OU_FUNCAO_FISICA,CNPJ_EXTERNO_AOS_103,ADICIONAL_RAIZ_87345021,Candidato a Lojas Pompéia / Lins Ferrao Artigos do Vestuario Ltda,87345021003304,87345021,CANDIDATO_CORRECAO_ASSOCIACAO_MARCA,PENDENTE_VINCULO_EXPLICITO_MARCA_CNPJ,VINCULO_EXPLICITO_MARCA_CNPJ,L03-02,Adicionar ao controle; candidato a substituir associação Pompéia do row103
P1,IDENTIDADE_UNIDADE_SUCESSAO_OU_FUNCAO_FISICA,CNPJ_EXTERNO_AOS_103,ADICIONAL_RAIZ_92293703,Barraca Missões / GFO Saúde e Nutrição Animal Ltda,92293703001145,92293703,ADICIONAL_RAIZ,PENDENTE_FUNCAO_FISICA_DA_UNIDADE,FUNCAO_FISICA_STORE_FRONT_VS_OUTRA_UNIDADE,L12-06,Adicionar ao controle; candidato forte a incorporação
P1,IDENTIDADE_UNIDADE_SUCESSAO_OU_FUNCAO_FISICA,CNPJ_EXTERNO_AOS_103,ADICIONAL_RAIZ_93202695,Jose Altamir Silveira da Rosa Ltda — marca operacional não confirmada,93202695000256,93202695,ADICIONAL_RAIZ,PENDENTE_FUNCAO_FISICA_DA_UNIDADE,FUNCAO_FISICA_STORE_FRONT_VS_OUTRA_UNIDADE,L05-02,Adicionar ao controle; não ao denominador canônico ainda
P1,IDENTIDADE_UNIDADE_SUCESSAO_OU_FUNCAO_FISICA,CNPJ_EXTERNO_AOS_103,123,7 Povos Confecções e Calçados São Borja,97093694000190,97093694,CANDIDATO_FORTE_LINHA_SEM_CNPJ,PENDENTE_VINCULO_DIRETO_MARCA_CNPJ,VINCULO_EXPLICITO_MARCA_CNPJ,L16-02,Manter como candidato forte; não preencher canonicamente ainda
P2,INCLUSAO_PROVAVEL_COM_RECONCILIACAO,CNPJ_EXTERNO_AOS_103,97,MB Lojas / Comercio de Confeccoes Beilfuss Ltda,43839616000163,43839616,OPERADOR_ATUAL_MARCA_CONFIRMADO,INCLUIR_OPERADOR_ATUAL_CONFIRMADO,NENHUM_ESTRUTURAL_P0_RESOLVIDO,L19-01,Incorporar como operador atual da marca; CNPJ histórico baixado sai do cenário corrente
P2,INCLUSAO_PROVAVEL_COM_RECONCILIACAO,CNPJ_EXTERNO_AOS_103,101,Loja It Girls / V Ferreira & LC Rieffel Comercio e Vestuario Ltda,35686566000101,35686566,OPERADOR_ATUAL_MARCA_CONFIRMADO,INCLUIR_OPERADOR_ATUAL_CONFIRMADO,NENHUM_ESTRUTURAL_P0_RESOLVIDO,L19-02,Incorporar como operador atual da marca; CNPJ histórico baixado sai do cenário corrente
P2,INCLUSAO_PROVAVEL_COM_RECONCILIACAO,CNPJ_EXTERNO_AOS_103,121,Magazine Bandeirante,87583456000100,87583456,IDENTIFICADO_LINHA_SEM_CNPJ,INCLUIR_CANDIDATO_ADICIONAL,CONFIRMACAO_FINAL_E_ENDERECO_QUANDO_APLICAVEL,L16-01,Preencher CNPJ no sucessor com flag de reconciliação
P2,INCLUSAO_PROVAVEL_COM_RECONCILIACAO,CNPJ_EXTERNO_AOS_103,132,Loja Portal / Picon & Oliveira Ltda,17705834000103,17705834,IDENTIFICADO_LINHA_SEM_CNPJ,INCLUIR_CANDIDATO_ADICIONAL,NENHUM_ESTRUTURAL_P0_RESOLVIDO,L20-01,Preencher CNPJ 17.705.834/0001-03; descartar hipótese anterior Nayef Abdo Hijazi como identidade jurídica da Portal
P2,INCLUSAO_PROVAVEL_COM_RECONCILIACAO,CNPJ_EXTERNO_AOS_103,134,Elegância Moda e Acessórios,11496172000114,11496172,IDENTIFICADO_LINHA_SEM_CNPJ,INCLUIR_CANDIDATO_ADICIONAL,METADADOS_ENDERECO_RAZAO_NAO_BLOQUEANTES,L20-02,Preencher CNPJ 11.496.172/0001-14 com metadados detalhados ainda pendentes
P2,INCLUSAO_PROVAVEL_COM_RECONCILIACAO,CNPJ_EXTERNO_AOS_103,140,Top 20 / Lisangela Souza Storch,37106058000124,37106058,OPERADOR_ATUAL_MARCA_CONFIRMADO,INCLUIR_OPERADOR_ATUAL_CONFIRMADO,NENHUM_ESTRUTURAL_P0_RESOLVIDO,L19-04,Incorporar como operador atual da marca; CNPJ histórico baixado sai do cenário corrente
P2,INCLUSAO_PROVAVEL_COM_RECONCILIACAO,CNPJ_EXTERNO_AOS_103,141,Carol Modas / Carol Modas GG,88721220000155,88721220,IDENTIFICADO_LINHA_SEM_CNPJ,INCLUIR_CANDIDATO_ADICIONAL,CONFIRMACAO_FINAL_E_ENDERECO_QUANDO_APLICAVEL,L17-04,Preencher CNPJ 88721220000155 no sucessor
P2,INCLUSAO_PROVAVEL_COM_RECONCILIACAO,CNPJ_ORIGINAL_103,144,Fantasia: Mundi Calçados / Razão Social: Calcemoda Comercio de Calcados LTDA (Cnpj 38.128.053/0001-65),38128053000165,38128053,P0_RESOLVIDO_PRESENCA_OPERACIONAL_STATUS_PENDENTE,INCLUIR_OPERADOR_COM_STATUS_JURIDICO_PENDENTE,CONFIRMAR_STATUS_CNPJ,L21-02,Mundi Calçados operacionalmente atual; CNPJ 38.128.053/0001-65 ainda sem status direto.
P2,INCLUSAO_PROVAVEL_COM_RECONCILIACAO,CNPJ_ORIGINAL_103,147,Fantasia: Ciranda Boutique / Razão Social: Sidinei Poerscke (Cnpj 90.134.701/0001-06),90134701000106,90134701,P0_RESOLVIDO_PRESENCA_OPERACIONAL_STATUS_PENDENTE,INCLUIR_OPERADOR_COM_STATUS_JURIDICO_PENDENTE,CONFIRMAR_STATUS_CNPJ,L21-03,Ciranda Boutique operacionalmente atual; status cadastral direto pendente.
P2,INCLUSAO_PROVAVEL_COM_RECONCILIACAO,CNPJ_EXTERNO_AOS_103,150,Casa A Favorita / Casa Favoritasb Ltda,89224869000123,89224869,IDENTIFICADO_LINHA_SEM_CNPJ,INCLUIR_CANDIDATO_ADICIONAL,CONFIRMACAO_FINAL_E_ENDERECO_QUANDO_APLICAVEL,L18-01,Preencher CNPJ 89224869000123; registrar 05534303578 como telefone erroneamente lançado
P2,INCLUSAO_PROVAVEL_COM_RECONCILIACAO,CNPJ_ORIGINAL_103,169,Fantasia: Lojas Quero Quero / Razão Social: Lojas Quero-Quero S.a. (Cnpj 96.418.264/0357-81),96418264035781,96418264,ATIVO_COM_RECONCILIACAO_ESTRUTURAL,INCLUIR_COM_PENDENCIA_ESTRUTURAL,Confirmar ambos na RFB oficial quando houver rota operacional,L01-01,
P2,INCLUSAO_PROVAVEL_COM_RECONCILIACAO,CNPJ_EXTERNO_AOS_103,175,Lojas Americanas / Americanas S.A.,00776574170906,00776574,SUBSTITUTO_OPERACIONAL_CONFIRMADO,INCLUIR_OPERADOR_ATUAL_CONFIRMADO,NENHUM_ESTRUTURAL_P0_RESOLVIDO,L19-09,Promover 00.776.574/1709-06 como CNPJ corrente da operação de São Borja
P2,INCLUSAO_PROVAVEL_COM_RECONCILIACAO,CNPJ_EXTERNO_AOS_103,177,Monaco Freeshop / Brasil Free Shop,32195385001239,32195385,IDENTIFICADO_LINHA_SEM_CNPJ,INCLUIR_CANDIDATO_ADICIONAL,CONFIRMACAO_FINAL_E_ENDERECO_QUANDO_APLICAVEL,L03-09,Preencher CNPJ 32195385001239 no sucessor
P2,INCLUSAO_PROVAVEL_COM_RECONCILIACAO,CNPJ_ORIGINAL_103,190,Fantasia: Ponto dos Pets / Razão Social: Bastiani & Ferreira Ltda (Cnpj 34.338.660/0001-07),34338660000107,34338660,P0_RESOLVIDO_PRESENCA_OPERACIONAL_STATUS_ENDERECO_PENDENTES,INCLUIR_OPERADOR_COM_STATUS_JURIDICO_PENDENTE,CONFIRMAR_STATUS_CNPJ_E_ENDERECO_ATUAL,L21-06,Ponto dos Pets operacionalmente atual; CNPJ/status/endereço 2026 ainda em reconciliação.
P2,INCLUSAO_PROVAVEL_COM_RECONCILIACAO,CNPJ_ORIGINAL_103,197,Fantasia Agrolago Rações / Razão Social: Tusnel Segobia Lago (Cnpj 50.578.611/0001-90),50578611000190,50578611,ATIVA_POR_LISTAGEM_SETORIAL_STATUS_INDIVIDUAL_PENDENTE,INCLUIR_COM_PENDENCIA_DE_STATUS_INDIVIDUAL,Buscar RFB/base integral ou ficha individual atual,L12-04,
P2,INCLUSAO_PROVAVEL_COM_RECONCILIACAO,CNPJ_ORIGINAL_103,200,Fantasia: Agropecuaria Vieira / Razão Social: Neri T. Vieira Benites & Cia Ltda (Cnpj 11.263.905/0001-70),11263905000170,11263905,PRESENCA_COMPATIVEL_METADADO_JURIDICO_PENDENTE,INCLUIR_COM_PENDENCIA_JURIDICA,"Buscar RFB/base integral para razão social, situação e CNAEs atuais",L12-08,
P2,INCLUSAO_PROVAVEL_COM_RECONCILIACAO,CNPJ_EXTERNO_AOS_103,215,Mais Top Papelaria / Juliana Andrade Moreira,24495873000180,24495873,IDENTIFICADO_LINHA_SEM_CNPJ,INCLUIR_CANDIDATO_ADICIONAL,CONFIRMACAO_FINAL_E_ENDERECO_QUANDO_APLICAVEL,L14-03,Preencher CNPJ 24495873000180 no sucessor
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,103,Fantasia: Lojas Pompeia / Razão Social: Lins Ferrao Artigos do Vestuario Ltda (Cnpj 87.345.021/0122-14),87345021012214,87345021,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Buscar fonte de primeira parte Lins Ferrão/Gang e confirmar RFB,L03-01,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,105,Fantasia: Lojas Monjuá / Razão Social: Lojas Tres Passos Ltda (Cnpj 98.102.650/0023-58),98102650002358,98102650,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Confirmar marca↔CNPJ por fonte de primeira parte/nota fiscal ou RFB,L03-03,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,111,Fantasia: Requinte Modas / Razão Social: Jose Altamir Silveira da Rosa Ltda (Cnpj 93.202.695/0006-80) / Filial - 9,93202695000680,93202695,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Confirmar RFB e presença operacional; registrar /0002-56 como adicional,L05-01,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,113,Fantasia: Linda Variedades / Razão Social: Changyong Duan (Cnpj 48.346.814/0001-09),48346814000109,48346814,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Preservar separadamente e confirmar operação física,L05-04,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,114,Fantasia: Linda Variedades / Razão Social: F. Zhu (Cnpj 55.498.031/0001-06),55498031000106,55498031,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Preservar separadamente; confirmar operação física,L05-05,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,115,Fantasia: Kolwertn Multimarcas / Razão Social: CR Comércio do Vestuário Ltda (Cnpj 94.072.782/0001-18),94072782000118,94072782,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Buscar primeira parte/redes da marca e confirmar RFB,L05-06,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,116,Fantasia: Franco Giorgi / Razão Social: Grazziotin S A (Cnpj 92.012.467/0190-08),92012467019008,92012467,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Confirmar RFB e mapear unidade física/marca,L02-03,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,117,Fantasia: Lojas Grazziotin / Razão Social: Grazziotin S A (Cnpj 92.012.467/0037-80),92012467003780,92012467,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Confirmar RFB e documentar transição de fantasia/endereço,L02-04,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,119,"Fantasia: M.h. Moda Intima / Razão Social: G P Junior, Moda Intima Ltda (Cnpj 05.823.159/0004-72)",05823159000472,05823159,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Registrar matriz /0001-20 e reconciliar funções/endereços antes de métricas,L05-08,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,124,Fantasia: 7 Povos Tchê! / Razão Social: Renato Cesar Prauchner (Cnpj 06.339.679/0001-24),06339679000124,06339679,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Confirmar RFB e tratar cada raiz separadamente,L06-02,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,128,Fantasia: MAXX Outlet / Razão Social: Rm2S Ltda (Cnpj 58.434.608/0010-03) / Filial,58434608001003,58434608,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Buscar fonte operacional/primeira parte da marca,L03-04,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,129,Fantasia: Studio Live! São Borja / Razão Social: Otto Comercio e Vestuario LTDA (Cnpj 48.191.706/0001-04) /,48191706000104,48191706,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Buscar localizador/primeira parte da Live! e confirmar vínculo,L06-03,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,131,Fantasia: Original Store / Razão Social: Comercio de Confeccoes Silveira & Severo Ltda (Cnpj 18.382.369/0003-33),18382369000333,18382369,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Confirmar RFB direta; preservar razão social × marca,L06-04,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,135,Fantasia: Donna Amô / Razão Social: 60.940.561 Paola da Silva Cardoso (Cnpj 60.940.561/0001-00),60940561000100,60940561,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Buscar primeira parte/redes da marca e confirmar RFB,L06-06,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,136,Fantasia: Dona Nanda / Razão Social: Fernanda Bublitz Petterini (Cnpj 29.091.514/0001-81),29091514000181,29091514,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,"Confirmar RFB e, se possível, primeira parte da marca",L06-07,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,137,Fantasia: Stilo Modas / Razão Social: Marlise Neubuser Cezar (Cnpj 22.560.258/0001-85),22560258000185,22560258,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Triangular com segunda fonte/primeira parte e confirmar RFB,L06-08,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,148,Fantasia: Loja UP São Borja (Pedrangel Calcados) / Razão Social: Pedrangel Comercio de Calcados e Vestuarios Ltda. (Cnpj 08.835.108/0001-06),08835108000106,08835108,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Confirmar RFB direta e preservar campos separados,L08-01,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,149,Fantasia: Santa Clara Confecções e Calçados / Razão Social: Angela Mari Faguaga Siqueira Ltda (Cnpj 01.800.560/0001-93),01800560000193,01800560,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Buscar primeira parte/nota fiscal recente e confirmar RFB,L08-02,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,151,Fantasia: LF Calçados (Gf Gerson Fernandez) / Razão Social: Gerson Jair Peroty Fernandez Ltda (Cnpj 09.148.429/0001-03),09148429000103,09148429,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Buscar primeira parte/redes sociais e confirmar RFB,L08-03,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,153,Fantasia: Camponesa Sapatu´s / Razão Social: Andreia Machado da Trindade (Cnpj 07.574.946/0002-91),07574946000291,07574946,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Confirmar RFB e definir endereço cadastral vs loja física,L08-05,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,155,Fantasia: Elite Artigos Militares / Razão Social: Elite Artigos Militares (Cnpj 20.929.450/0002-51),20929450000251,20929450,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Confirmar RFB direta e registrar matriz/filial separadamente,L08-06,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,157,Fantasia: 7 Povos Tecidos e Decorações / Razão Social: Renato Cesar Prauchner Ltda (Cnpj 62.201.240/0001-01),62201240000101,62201240,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Confirmar RFB direta; manter cluster por CNPJ/raiz,L09-01,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,159,Fantasia: Minha Loja / Razão Social: Maria Tereza Pires Machado (Cnpj 91.252.635/0001-31),91252635000131,91252635,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Verificar mix atual antes de decidir permanência em BNE,L09-03,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,172,Fantasia: Lojas Benoit / Razão Social: Benoit Eletrodomesticos Ltda (Cnpj 87.296.026/0148-33),87296026014833,87296026,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Buscar fonte oficial/primeira parte e confirmar RFB,L01-06,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,182,Fantasia: Veterinária São Francisco / Razão Social: Mário Lúcio Saraiva Gonçalves (Cnpj 01.448.878/0001-57),01448878000157,01448878,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Buscar RFB/base integral de ambos e históricos de endereço,L10-06,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,184,Fantasia: Mealho Pets / Razão Social: Bruna Regina Mealho (Cnpj 25.225.190/0001-76),25225190000176,25225190,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Buscar primeira parte da marca e confirmar RFB,L10-07,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,186,Fantasia: Eva Pet Shop / Razão Social: Lenise Cristina Carvalho de Abreu (Cnpj 35.261.575/0001-42),35261575000142,35261575,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Confirmar RFB/base integral e ponto atual,L11-02,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,191,Fantasia: Casa de Rações Santhiago (Santhiago Shop) / Razão Social: Marcelino Olisan Brum de Oliveira Ltda (Cnpj 63.588.928/0001-59),63588928000159,63588928,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Confirmar primeira parte/nota fiscal e RFB,L11-05,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,192,Fantasia: Beleza Canina / Razão Social: Tiago Gavião Pereira (Cnpj 12.240.712/0001-67),12240712000167,12240712,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Confirmar RFB e endereço por primeira parte,L11-06,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,195,Fantasia: João e Maria Pet e Rações / Razão Social: Mariza Matoso Pedebos LTDA (Cnpj 59.205.031/0002-02),59205031000202,59205031,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Confirmar RFB e mapear função/ponto físico de matriz e filial,L12-01,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,198,Fantasia: Barraca Missões / Razão Social: Gfo Saúde e Nutrição Animal Ltda (Cnpj 92.293.703/0005-05),92293703000505,92293703,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Confirmar RFB e função operacional das duas filiais,L12-05,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,203,Fantasia: Finger Joias / Razão Social: Micheli Redel Finger (Cnpj 49.552.224/0001-03),49552224000103,49552224,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Buscar primeira parte/redes e confirmar RFB,L13-02,
P3,PENDENCIA_NAO_BLOQUEANTE,CNPJ_ORIGINAL_103,207,Fantasia: Esmeralda Joias / Razão Social: Esmeralda Joias Ltda (Cnpj 26.102.738/0001-53),26102738000153,26102738,ATIVO_COM_RECONCILIACAO,INCLUIR_COM_PENDENCIA,Confirmar RFB e preservar nota de classificação,L13-06,
