cnae_divisao,atividade,estabelecimentos_ativos,filiais_matriz_externa,participacao_externa_pct,participacao_matriz_local_pct,circuito_analitico,natureza,fonte,competencia,geografia,limitacao
"62","Atividades dos serviços de tecnologia da informação",15,0,0.00,100.00,"Serviços empresariais / tecnologia","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Base cadastral não mede capacidade técnica"
"64","Atividades de serviços financeiros",40,13,32.50,67.50,"Finanças e crédito","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Não mede ativos, depósitos ou crédito"
"68","Atividades imobiliárias",36,0,0.00,100.00,"Serviços urbanos / patrimônio","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Não mede transações, valores ou estoque imobiliário"
"69","Atividades jurídicas, de contabilidade e de auditoria",87,1,1.15,98.85,"Serviços empresariais / conhecimento","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Não mede profissionais autônomos fora do universo cadastral comparável"
"71","Serviços de arquitetura e engenharia; testes e análises técnicas",36,1,2.78,97.22,"Serviços empresariais / técnicos","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Não mede faturamento ou especialização"
"73","Publicidade e pesquisa de mercado",164,1,0.61,99.39,"Economia criativa / serviços empresariais","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Contagem alta exige futura decomposição CNAE/classe; não inferir agências estruturadas"
"74","Outras atividades profissionais, científicas e técnicas",76,2,2.63,97.37,"Serviços empresariais / conhecimento","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Divisão heterogênea"
"75","Atividades veterinárias",12,0,0.00,100.00,"Saúde animal / serviços","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Não inclui toda a cadeia pet"
"79","Agências de viagens, operadores turísticos e serviços de reservas",11,0,0.00,100.00,"Turismo / intermediação","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Cadastro ativo não comprova operação efetiva nem fluxo de turistas"
"82","Serviços de escritório, apoio administrativo e outros serviços prestados principalmente às empresas",219,7,3.20,96.80,"Serviços empresariais","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Divisão ampla"
"85","Educação",177,7,3.95,96.05,"Base institucional / educação","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","CNPJ ativo não mede matrículas ou demanda"
"86","Atividades de atenção à saúde humana",157,3,1.91,98.09,"Saúde / centralidade regional","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Não mede capacidade assistencial, pacientes ou faturamento"
"87","Atividades de atenção à saúde humana integradas com assistência social",45,0,0.00,100.00,"Saúde e assistência","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Não mede leitos/capacidade"
"88","Serviços de assistência social sem alojamento",13,2,15.38,84.62,"Assistência social","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Pequena base absoluta"
"90","Atividades artísticas, criativas e de espetáculos",32,0,0.00,100.00,"Cultura / eventos / turismo","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Não mede eventos realizados, público ou receita"
"91","Atividades ligadas ao patrimônio cultural e ambiental",1,0,0.00,100.00,"Cultura / turismo","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Base absoluta unitária"
"93","Atividades esportivas e de recreação e lazer",58,0,0.00,100.00,"Lazer / turismo / serviços","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Não mede público ou gasto"
"95","Reparação e manutenção de equipamentos de informática e comunicação e de objetos pessoais e domésticos",90,0,0.00,100.00,"Serviços de reparação / pós-venda","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Não mede demanda ou faturamento"
"96","Outras atividades de serviços pessoais",402,5,1.24,98.76,"Serviços pessoais","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Divisão muito heterogênea"
