eixo,indicador,periodo,valor,unidade,geografia,natureza,universo_formula,fonte,limitacao
"Tempo de emprego","Até 12 meses — faixa SBMI","2024-12-31","30.27","%","São Borja","DADO CALCULADO","tempo<=12 / 13125","MTE/RAIS 2024","Faixa analítica SBMI; não é taxa de rotatividade"
"Tempo de emprego","13–36 meses — faixa SBMI","2024-12-31","26.86","%","São Borja","DADO CALCULADO","12<tempo<=36 / 13125","MTE/RAIS 2024","Faixa analítica SBMI"
"Tempo de emprego","37–60 meses — faixa SBMI","2024-12-31","13.17","%","São Borja","DADO CALCULADO","36<tempo<=60 / 13125","MTE/RAIS 2024","Faixa analítica SBMI"
"Tempo de emprego","61–120 meses — faixa SBMI","2024-12-31","13.21","%","São Borja","DADO CALCULADO","60<tempo<=120 / 13125","MTE/RAIS 2024","Faixa analítica SBMI"
"Tempo de emprego","Mais de 120 meses — faixa SBMI","2024-12-31","16.49","%","São Borja","DADO CALCULADO","tempo>120 / 13125","MTE/RAIS 2024","Faixa analítica SBMI"
"Remuneração × sexo","Remuneração média nominal anual-média — homens","2024","3334.00","R$/mês","São Borja","DADO CALCULADO","média de Vl Rem Média Nom >0; sexo=1; n=7176","MTE/RAIS 2024","Média bruta por vínculo; composição ocupacional/setorial não controlada"
"Remuneração × sexo","Remuneração média nominal anual-média — mulheres","2024","2961.37","R$/mês","São Borja","DADO CALCULADO","média de Vl Rem Média Nom >0; sexo=2; n=5219","MTE/RAIS 2024","Média bruta por vínculo; composição ocupacional/setorial não controlada"
"Remuneração × sexo","Diferença bruta mulheres/homens — média","2024","-11.18","%","São Borja","DADO CALCULADO","(2961.37/3334.00-1)*100","MTE/RAIS 2024","Não é medida causal de discriminação salarial; não controla ocupação, setor, jornada, escolaridade ou tempo de vínculo"
"Remuneração × sexo","Remuneração mediana nominal anual-média — homens","2024","2689.55","R$/mês","São Borja","DADO CALCULADO","mediana de Vl Rem Média Nom >0; sexo=1; n=7176","MTE/RAIS 2024","Mediana bruta por vínculo"
"Remuneração × sexo","Remuneração mediana nominal anual-média — mulheres","2024","2241.81","R$/mês","São Borja","DADO CALCULADO","mediana de Vl Rem Média Nom >0; sexo=2; n=5219","MTE/RAIS 2024","Mediana bruta por vínculo"
"Remuneração × sexo","Diferença bruta mulheres/homens — mediana","2024","-16.65","%","São Borja","DADO CALCULADO","(2241.81/2689.55-1)*100","MTE/RAIS 2024","Não é medida causal de discriminação salarial"
"Auditoria Simples","Código bruto 0","2024-12-31","10087","vínculos","São Borja","DADO OBSERVADO — CÓDIGO NÃO INTERPRETADO","contagem do campo Ind Estabelecimento Participante SIMPLES - Código","MTE/RAIS 2024","Não converter em optante/não optante: dicionário específico do microdado 0/1 ainda não localizado"
"Auditoria Simples","Código bruto 1","2024-12-31","3038","vínculos","São Borja","DADO OBSERVADO — CÓDIGO NÃO INTERPRETADO","contagem do campo Ind Estabelecimento Participante SIMPLES - Código","MTE/RAIS 2024","Layout oficial de declaração usa 1/2; microdado local apresenta 0/1"
