cnpj,classe_origem,linha_referencia,operador_marca,status_provisorio,periodo,endereco,fonte_1,fonte_2,decisao_provisoria,elegibilidade_futura,bloqueio_remanescente,limitacao,proxima_acao,lote
15009711000102,CANDIDATO_HISTORICO_FORTE,130,Ka Lopes Fitness,CNPJ_CANDIDATO_HISTORICO_FORTE_MARCA_ATUAL_CNPJ_PENDENTE,2026-09-24,Histórico: Av. Presidente Vargas 1938; atual: Rua Barão do Rio Branco 2305 Sala 102A,SEFAZ/RS NF-e + diretório operacional atual,https://localtreino.com/lojas-de-moda-fitness/sao-borja/ka-lopes-fitness-sao-borja/,Não preencher canonicamente; preservar 15009711000102 como candidato histórico,NAO_CNPJ_CORRENTE_PENDENTE,IDENTIFICAR_CNPJ_CORRENTE_DA_MARCA,Vínculo histórico é forte; não há prova de que o CNPJ histórico seja usado na operação atual,Buscar NF-e/IE/alvará ou primeira parte da operação atual,L17-01
48341505000146,CANDIDATO_MODERADO_LINHA_SEM_CNPJ,161,Bella Cestas & Presentes,CNPJ_CANDIDATO_COLOCALIZADO_ATIVO_SEM_VINCULO_MARCA,2026-09-24,"Rua Cel. Aparicio Mariense 2671 Sala 02, Centro, São Borja-RS",Google local/business + CNPJ.biz,https://cnpj.biz/48341505000146,Manter linha sem CNPJ; registrar 48341505000146 apenas como candidato moderado,NAO_AINDA_EVIDENCIA_INSUFICIENTE,PROVAR_IDENTIDADE_JURIDICA,Dois negócios podem compartilhar endereço/sala; co-localização isolada não prova identidade jurídica,"Buscar NF-e, Pix empresarial, IE, alvará ou dados legais publicados pela Bella Cestas",L18-04
00664113000191,CONTINUIDADE_CANDIDATA_MARCA,156,Rilu Tecidos / Socoloski & Socoloski Comercio de Tecidos Ltda,CNPJ_CONTINUIDADE_CANDIDATA_MARCA_RILU,2026-09-24,"Rua Serafim Dornelles Vargas 1136, Centro, São Borja-RS",Solutudo,GuiaPJ,Excluir CNPJ histórico baixado; manter operação Rilu atual em P1 até fechar equivalência,NAO_AINDA_EQUIVALENCIA_OPERADOR_PENDENTE,EQUIVALENCIA_RILU_ARMARINHOS_VS_RILU_TECIDOS,Mesma família/nome não prova sucessão jurídica direta,Documentar relação operacional/histórica entre as duas Rilu,L19-07
30650368000166,HISTORICO_MARCA_BAIXADO,160,Amei Presentes Criativos,CNPJ_HISTORICO_BAIXADO_SUCESSOR_CANDIDATO_FORTE_MESMO_TITULAR_ENDERECO,2026-09-24,"Avenida Julio Trois 1559, Passo, São Borja-RS",Magalu + CNPJ.biz histórico e novo,https://cnpj.biz/66405682000120,Registrar 30650368000166 como histórico e 66405682000120 como sucessor candidato; não preencher corrente canônico ainda,NAO_HISTORICO,CNPJ_BAIXADO,Página do marketplace pode estar desatualizada; mesma titular/endereço não prova transferência formal da marca,Buscar NF-e/IE/alvará ou primeira parte que vincule Amei ao novo CNPJ,L18-03
03243241000150,HOMONIMO_ALTERNATIVO,182,Veterinaria Sao Francisco / Mario Lucio Saraiva Goncalves,CNPJ_ATIVO_MARCA_HOMONIMA_OUTRO_CNPJ_RECONCILIACAO,2026-09-23,"Centro, São Borja-RS — endereço detalhado do CNPJ original não recuperado",Civvico + Solutudo,https://www.solutudo.com.br/empresas/rs/s-borja/farmacias-veterinarias/lucinara-marchezan-goncalves-9414022,Manter CNPJ original com marca pendente; registrar 03243241000150 em controle separado,NAO_AINDA_HOMONIMIA,RESOLVER_HOMONIMIA_SUCESSAO,"Mesmo nome em dois CNPJs não prova sucessão, transferência ou mesma unidade",Buscar RFB/base integral de ambos e históricos de endereço,L10-06
11496172000114,IDENTIFICADO_LINHA_SEM_CNPJ,134,Elegância Moda e Acessórios,CNPJ_IDENTIFICADO_FORTE_ATIVO_ELEGANCIA_ENDERECO_PENDENTE,2026-09-24,São Borja-RS; endereço detalhado pendente,Cirtrox — lista ativa de vestuário atualizada 21/08/2026,,Preencher CNPJ 11.496.172/0001-14 com metadados detalhados ainda pendentes,SIM_INCORPORAR_CANDIDATO_RECONCILIADO,METADADOS_ENDERECO_RAZAO_NAO_BLOQUEANTES,Ficha individual detalhada não recuperada nesta rodada,Promover ao universo candidato; detalhar endereço/razão social em atualização posterior,L20-02
17705834000103,IDENTIFICADO_LINHA_SEM_CNPJ,132,Loja Portal / Picon & Oliveira Ltda,CNPJ_IDENTIFICADO_FORTE_ATIVO_PORTAL_P0_RESOLVIDO,2026-09-24,"Rua General Marques 1236, Centro, São Borja-RS",Cirtrox — ficha PORTAL atualizada 21/08/2026,Diretório operacional Loja Portal,Preencher CNPJ 17.705.834/0001-03; descartar hipótese anterior Nayef Abdo Hijazi como identidade jurídica da Portal,SIM_INCORPORAR_CANDIDATO_RECONCILIADO,NENHUM_ESTRUTURAL_P0_RESOLVIDO,Confirmação direta RFB ainda desejável como rotina,Promover ao universo candidato; manter RFB direta como rotina,L20-01
24495873000180,IDENTIFICADO_LINHA_SEM_CNPJ,215,Mais Top Papelaria / Juliana Andrade Moreira,CNPJ_IDENTIFICADO_SECUNDARIO_ATIVO_LINHA_SEM_CNPJ,2026-09-23,Cadastro: Rua Coronel Lago 2328 Apt 02 Sala 01; operação: Avenida Presidente Vargas 2109 Sala A,CNPJ.biz + Solutudo,https://www.solutudo.com.br/empresas/rs/s-borja/papelarias/mais-top-papelaria-9416658,Preencher CNPJ 24495873000180 no sucessor,SIM_CANDIDATO_INCORPORACAO,CONFIRMACAO_FINAL_E_ENDERECO_QUANDO_APLICAVEL,Diretório pode conter razão social/endereço desatualizados; ficha cadastral preferida para metadados jurídicos,Confirmar RFB e ponto comercial atual,L14-03
32195385001239,IDENTIFICADO_LINHA_SEM_CNPJ,177,Monaco Freeshop / Brasil Free Shop,CNPJ_IDENTIFICADO_OFICIAL_LISTA_LOJA_FRANCA_MONACO,2026-09-23,"Rua General Marques 541 Anexo B, Centro, São Borja-RS",Receita Estadual/RS + Econodata,https://www.econodata.com.br/consulta-empresa/32195385001239-brasil-free-shop-comercio-varejista-de-mercadorias-ltda,Preencher CNPJ 32195385001239 no sucessor,SIM_CANDIDATO_INCORPORACAO,CONFIRMACAO_FINAL_E_ENDERECO_QUANDO_APLICAVEL,Autorização/cadastro não mede volume de operação,Confirmar RFB direta; preservar trilha de identificação,L03-09
87583456000100,IDENTIFICADO_LINHA_SEM_CNPJ,121,Magazine Bandeirante,CNPJ_IDENTIFICADO_FORTE_ATIVO_MARCA_HISTORICA_ENDERECO_RECONCILIAR,2026-09-24,"Marca histórica: Rua General Osorio 1373; cadastro recente: Rua General Osorio 2273, Centro, São Borja-RS",Solutudo + INPI,https://revistas.inpi.gov.br/pdf/marcas2147.pdf,Preencher CNPJ no sucessor com flag de reconciliação,SIM_CANDIDATO_INCORPORACAO,CONFIRMACAO_FINAL_E_ENDERECO_QUANDO_APLICAVEL,INPI prova vínculo histórico; fonte recente não resolve sozinha continuidade da marca/endereço/titularidade,Confirmar RFB direta e presença atual da marca; preservar temporalidade,L16-01
88721220000155,IDENTIFICADO_LINHA_SEM_CNPJ,141,Carol Modas / Carol Modas GG,CNPJ_IDENTIFICADO_FORTE_ATIVO_MARCA_OPERACIONAL_COMPATIVEL,2026-09-24,"Rua Candido Falcao 1247, Centro, São Borja-RS",Solutudo + Magalu Marketplace,https://www.magazineluiza.com.br/punho-pele-ravanello/p/ed3bh7ef5b/im/pebp/?seller_id=carolmodassaoborja,Preencher CNPJ 88721220000155 no sucessor,SIM_CANDIDATO_INCORPORACAO,CONFIRMACAO_FINAL_E_ENDERECO_QUANDO_APLICAVEL,"Marketplace comprova atividade digital recente, não market share",Confirmar RFB direta quando houver rota,L17-04
89224869000123,IDENTIFICADO_LINHA_SEM_CNPJ,150,Casa A Favorita / Casa Favoritasb Ltda,CNPJ_IDENTIFICADO_FORTE_ATIVO_NUMERO_INVENTARIO_ERA_TELEFONE,2026-09-24,"Rua General Osorio 2238, Centro, São Borja-RS",Casa dos Dados + Econodata,https://www.econodata.com.br/consulta-empresa/89224869000123-casa-favoritasb-ltda,Preencher CNPJ 89224869000123; registrar 05534303578 como telefone erroneamente lançado,SIM_CANDIDATO_INCORPORACAO,CONFIRMACAO_FINAL_E_ENDERECO_QUANDO_APLICAVEL,CNPJ foi encontrado independentemente; não foi obtido por completar o número de 11 dígitos do inventário,Confirmar RFB direta; preservar correção do erro de campo,L18-01
35686566000101,OPERADOR_ATUAL_MARCA_CONFIRMADO,101,Loja It Girls / V Ferreira & LC Rieffel Comercio e Vestuario Ltda,CNPJ_OPERADOR_ATUAL_MARCA_IT_GIRLS,2026-09-24,"Rua Aparicio Mariense 2619 Sala 02, Centro, São Borja-RS",CNPJ.biz,Solutudo,Incorporar como operador atual da marca; CNPJ histórico baixado sai do cenário corrente,SIM_INCORPORAR_OPERADOR_ATUAL,NENHUM_ESTRUTURAL_P0_RESOLVIDO,Não implica sucessão jurídica formal,Confirmar RFB direta como rotina,L19-02
37106058000124,OPERADOR_ATUAL_MARCA_CONFIRMADO,140,Top 20 / Lisangela Souza Storch,CNPJ_OPERADOR_ATUAL_MARCA_TOP20,2026-09-24,"Rua General Marques 988, Centro, São Borja-RS",CNPJ.biz,Diretórios locais,Incorporar como operador atual da marca; CNPJ histórico baixado sai do cenário corrente,SIM_INCORPORAR_OPERADOR_ATUAL,NENHUM_ESTRUTURAL_P0_RESOLVIDO,Não implica sucessão jurídica formal,Confirmar RFB direta como rotina,L19-04
43839616000163,OPERADOR_ATUAL_MARCA_CONFIRMADO,97,MB Lojas / Comercio de Confeccoes Beilfuss Ltda,CNPJ_OPERADOR_ATUAL_MARCA_MB_LOJAS,2026-09-24,"Rua Cel. Aparicio Mariense 2819, Centro, São Borja-RS",Grupo MB — primeira parte,Solutudo,Incorporar como operador atual da marca; CNPJ histórico baixado sai do cenário corrente,SIM_INCORPORAR_OPERADOR_ATUAL,NENHUM_ESTRUTURAL_P0_RESOLVIDO,Não implica sucessão jurídica formal,Confirmar RFB direta como rotina,L19-01
96418264002859,STOREFRONT_DISTINTO_CORRECAO_DUPLICIDADE,168-169,Lojas Quero-Quero,CNPJ_STOREFRONT_DISTINTO_QUEROQUERO_0028_P1_RESOLVIDO,2026-09-23,"Rua Coronel Aparício Mariense 2635 / Rua General Marques 694, São Borja-RS",CNPJConsultar + Cirtrox + lista institucional Tramontina,Lista institucional Tramontina,Incluir como unidade comercial distinta; corrigir duplicidade do inventário,SIM_INCORPORAR_STOREFRONT,NENHUM_ESTRUTURAL_P1_RESOLVIDO,Localizador antigo conflita temporalmente; evidências cadastrais/operacionais posteriores sustentam presença,Confirmar RFB direta apenas como rotina; preservar nota temporal,L23-01
92012467009479,STOREFRONT_DISTINTO_RAIZ,ADICIONAL_RAIZ_92012467,Tottal Casa & Lazer / Grazziotin S A,CNPJ_STOREFRONT_DISTINTO_GRAZZIOTIN_TOTTAL_P1_RESOLVIDO,2026-09-23,"Rua Eddie Freire Nunes 1999, Centro, São Borja-RS",Cirtrox + lista institucional de lojas,https://www.generali.com.br/wp-content/uploads/2025/10/Grazziotin-Lista-de-Loja.pdf,Incorporar como storefront distinto da raiz Grazziotin,SIM_INCORPORAR_STOREFRONT,NENHUM_ESTRUTURAL_P1_RESOLVIDO,Não mede faturamento/participação,Confirmação RFB direta de rotina,L23-03
92012467012186,STOREFRONT_DISTINTO_RAIZ,ADICIONAL_RAIZ_92012467,Por Menos / Grazziotin S A,CNPJ_STOREFRONT_DISTINTO_GRAZZIOTIN_PORMENOS_0121_P1_RESOLVIDO,2026-09-23,"Avenida Presidente Vargas 1206, Centro, São Borja-RS",Solutudo + Sintegra Brasil,https://www.sintegrabrasil.com.br/cnpj/92012467063090,Incorporar como storefront distinto da raiz Grazziotin,SIM_INCORPORAR_STOREFRONT,NENHUM_ESTRUTURAL_P1_RESOLVIDO,Não deduplicar com /0451-90; endereços e CNPJs distintos,Confirmação RFB direta de rotina,L23-04
92012467026560,STOREFRONT_DISTINTO_RAIZ,ADICIONAL_RAIZ_92012467,Tech Box / Grazziotin S A,CNPJ_STOREFRONT_DISTINTO_GRAZZIOTIN_TECHBOX_P1_RESOLVIDO,2026-09-23,"Rua General Marques 1066, Centro, São Borja-RS",Cirtrox + WCSA Sistemas,https://www.wcsasistemas.cyou/cnpj/92012467026560-tech-box,Incorporar como storefront distinto da raiz Grazziotin; preservar subcategoria óptica,SIM_INCORPORAR_STOREFRONT,NENHUM_ESTRUTURAL_P1_RESOLVIDO,A raiz comum não deve apagar a classificação setorial própria,Confirmação RFB direta de rotina,L23-05
92012467045190,STOREFRONT_DISTINTO_RAIZ,ADICIONAL_RAIZ_92012467,Pormenos / Grazziotin S A,CNPJ_STOREFRONT_DISTINTO_GRAZZIOTIN_PORMENOS_0451_P1_RESOLVIDO,2026-09-23,"Rua Candido Falcao 940 Sala 02, Centro, São Borja-RS",Solutudo + matriz cadastral do grupo,https://www.cirtrox.com.br/consulta-empresas/empresa/92012467019008-franco-giorgi,Incorporar como storefront distinto da raiz Grazziotin,SIM_INCORPORAR_STOREFRONT,NENHUM_ESTRUTURAL_P1_RESOLVIDO,Não deduplicar com /0121-86; endereços e CNPJs distintos,Confirmação RFB direta de rotina,L23-06
00776574170906,SUBSTITUTO_OPERACIONAL_CONFIRMADO,175,Lojas Americanas / Americanas S.A.,CNPJ_SUBSTITUTO_OPERACIONAL_AMERICANAS_P0_RESOLVIDO,2026-09-23,"Rua Cândido Falcão 901, Centro, São Borja-RS",Diretório Brasil + CNPJGo + Diário Oficial de São Borja,Diário Oficial de São Borja — LO 080/2024,Promover 00.776.574/1709-06 como CNPJ corrente da operação de São Borja,SIM_INCORPORAR_CNPJ_CORRENTE,NENHUM_ESTRUTURAL_P0_RESOLVIDO,LO municipal prova vínculo do novo CNPJ ao endereço em 2024; situação 2026 do substituto vem de fonte secundária,Confirmar /1709-06 na RFB oficial antes da promoção canônica,L19-09
66405682000120,SUCESSOR_CANDIDATO,160,Amei Presentes Criativos,CNPJ_HISTORICO_BAIXADO_SUCESSOR_CANDIDATO_FORTE_MESMO_TITULAR_ENDERECO,2026-09-24,"Avenida Julio Trois 1559, Passo, São Borja-RS",Magalu + CNPJ.biz histórico e novo,https://cnpj.biz/66405682000120,Registrar 30650368000166 como histórico e 66405682000120 como sucessor candidato; não preencher corrente canônico ainda,NAO_AINDA_VINCULO_DIRETO_PENDENTE,VINCULO_EXPLICITO_MARCA_SUCESSOR,Página do marketplace pode estar desatualizada; mesma titular/endereço não prova transferência formal da marca,Buscar NF-e/IE/alvará ou primeira parte que vincule Amei ao novo CNPJ,L18-03
96418264053330,UNIDADE_JURIDICA_ATIVA_NAO_STOREFRONT_BASE,ADICIONAL_RAIZ_96418264,Lojas Quero-Quero,CNPJ_ATIVO_UNIDADE_JURIDICA_NAO_COMPROVADA_STOREFRONT_P1_RESOLVIDO,2026-09-23,"Rua Homero Pereira Coimbra 54 Sala 02 Fundos, José Pereira Alvarez, São Borja-RS",Cirtrox — ficha /0533-30 + listagem municipal,https://www.cirtrox.com.br/consulta-empresas/empresas/rs/sao-borja,Não contar como storefront no cenário-base; manter em sensibilidade/camada jurídica,NAO_STOREFRONT_BASE_MANTER_SENSIBILIDADE,NENHUM_BLOQUEIO_DENOMINADOR; FUNCAO_FISICA_PODE_SER_REABERTA,Ausência de evidência operacional não prova função não varejista,Reabrir se surgir evidência de atendimento ao público,L23-02
