market,submarket,rule_type,cnae_rule,primary_inclusion,scope_status,pom_basis,analytical_note
SERVICOS,oficinas_automotivas,prefix,4520,TRUE,CORE,"POM Serviços/questionário: oficinas; reparos em oficinas mecânicas","Inclui subclasses 4520 presentes na fotografia"
SERVICOS,hotelaria_alojamento,prefix,55,TRUE,CORE,"POM Serviços/questionário: hotelaria","Inclui alojamento como aproximação CNAE da hotelaria; detalhar em leitura setorial"
SERVICOS,clinicas_consultorios,prefix,863,TRUE,CORE,"POM Serviços/questionário: clínicas e consultórios","Atividades ambulatoriais"
SERVICOS,clinicas_consultorios,prefix,864,TRUE,CORE,"POM Serviços/questionário: clínicas e consultórios","Diagnóstico e terapia"
SERVICOS,clinicas_consultorios,prefix,865,TRUE,CORE,"POM Serviços/questionário: clínicas e consultórios","Profissionais da área de saúde, exceto médicos/odontólogos"
SERVICOS,clinicas_consultorios,prefix,866,TRUE,CORE,"POM Serviços/questionário: clínicas e consultórios","Apoio à gestão de saúde presente no mesmo ecossistema; manter explicitado"
SERVICOS,clinicas_consultorios,prefix,869,TRUE,CORE,"POM Serviços/questionário: clínicas e consultórios","Outras atividades de atenção à saúde"
SERVICOS,hospitais,prefix,861,FALSE,ADJACENT_REVIEW,"POM exemplifica clínicas e consultórios, não hospitais","Não entra no total primário conservador"
SERVICOS,assistencias_tecnicas_reparos,prefix,95,TRUE,CORE,"POM Serviços/questionário: assistências técnicas e reparos",""
SERVICOS,lavanderias,prefix,96017,TRUE,CORE,"POM Serviços/questionário: lavanderias",""
SERVICOS,saloes_beleza_barbearias,prefix,96025,TRUE,CORE,"POM Serviços/questionário: salões de beleza e barbearias",""
SERVICOS,outros_servicos_pessoais,prefix,96092,FALSE,ADJACENT_REVIEW,"POM usa 'serviços gerais e pessoais' em partes do diagnóstico, mas questionário não delimita todas essas subclasses","Não entra no total primário"

ALIMENTACAO_FORA_LAR,foodservice,prefix,56,TRUE,CORE,"POM/questionário: restaurantes, lanchonetes, pizzarias, bares, cafeterias, sorveterias, padarias e outros estabelecimentos de alimentação fora de casa","Usa Divisão 56 como regra operacional; inclui foodservice institucional e eventos, que devem ser discriminados em análises de subsegmento"
