cnpj,nome_credor,rubrica,acao,pago_R$,empenhos,semantic_family,evidence_scope,confidence,source,limitation
10936352000107,ESCOLA E ESCRITORIO INDUSTRIA E COMERCIO,EQUIPAMENTOS E MATERIAL PERMANENTE,PRÓ-INFÂNCIA,29066.77,1,MOBILIARIO_E_EQUIPAMENTOS_EDUCACIONAIS,CURRENT_2026_FAMILY_OBJECT,ALTA_FAMILIA,https://www.saoborja.rs.gov.br/images/DOESB/2026/Fevereiro/doesb04_02_2026.pdf,Contrato 51/2026 do mesmo CNPJ: mobiliário/equipamentos para EMEI; pagamento do par pode corresponder a parcela/subconjunto.
07319261000118,ELIETE BEATRIZ HAUPENTHAL & CIA LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,MANUTENÇÃO DO RESTAURANTE POPULAR,28960.0,1,EQUIPAMENTOS_UTENSILIOS_E_MOBILIARIO_ALIMENTACAO,CURRENT_2026_EXACT_OBJECT,ALTA,https://saoborja.rs.gov.br/index.php/vacinacao?start=490,"Contrato 80/2026, Programa Prato Gaúcho, R$28.960,00 coincide com o par."
51560442000123,DUFILTER DISTRIBUIDORA DE FILTROS E LUBR,MATERIAL DE CONSUMO,AQUISIÇÃO DE COMBUSTÍVEIS E LUBRIFICANTE,28956.04,2,FILTROS_LUBRIFICANTES_E_ITENS_AUTOMOTIVOS,CURRENT_ACTION+SUPPLIER_NAME,MEDIA_ALTA,Portal PMSB /despesas,Família pela denominação e ação; item 2026 não aberto.
34883104000103,RAPIDA INDUSTRIA DE PRODUTOS PARA SAUDE,MATERIAL DE CONSUMO,ATENÇÃO BÁSICA,27880.0,3,PRODUTOS_PARA_SAUDE,CURRENT_ACTION+SUPPLIER_NAME,MEDIA_ALTA,Portal PMSB /despesas,Família pela denominação empresarial e ação; item 2026 não aberto.
11606789000145,FALCAO EPI''S LTDA,MATERIAL DE CONSUMO,MANUTENÇÃO DO FUNDO MUNICIPAL DE ILUMINA,27482.2,2,EPI_E_MATERIAIS_DE_SEGURANCA,CURRENT_ACTION+SUPPLIER_NAME,MEDIA_ALTA,Portal PMSB /despesas,Família pela denominação empresarial; item 2026 não aberto.
10936352000107,ESCOLA E ESCRITORIO INDUSTRIA E COMERCIO,EQUIPAMENTOS E MATERIAL PERMANENTE,MANUTENÇÃO DA EDUCAÇÃO INFANTIL,27021.23,1,MOBILIARIO_E_EQUIPAMENTOS_EDUCACIONAIS,CURRENT_2026_FAMILY_OBJECT,ALTA_FAMILIA,https://www.saoborja.rs.gov.br/images/DOESB/2026/Fevereiro/doesb04_02_2026.pdf,Mesmo CNPJ em contrato 51/2026 de mobiliário/equipamentos para EMEI.
04998667000186,EQUIPAR GASTRO ACESSÓRIOS LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,MANUT.DA.EDUC.INFANT-FUNDEB 30%,26700.0,1,EQUIPAMENTOS_UTENSILIOS_ALIMENTACAO,CURRENT_ACTION+SUPPLIER_NAME,MEDIA,Portal PMSB /despesas,Família indicada pelo fornecedor; item 2026 não aberto.
31228836000171,ORTOBRAS INDUSTRIA E COMERCIO DE ORTOPED,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",MANUTENÇÃO DO CER,26094.85,5,ORTOSES_PROTESES_OU_EQUIPAMENTOS_REABILITACAO,CURRENT_ACTION+SUPPLIER_NAME,MEDIA_ALTA,Portal PMSB /despesas,Família consistente com CER e denominação do fabricante; item 2026 não aberto.
94516671000153,CIRURGICA SANTA CRUZ COM. PROD. HOSP. LT,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,25048.04,5,MEDICAMENTOS_OU_PRODUTOS_HOSPITALARES,HISTORICAL_OFFICIAL+CURRENT_ACTION,ALTA_FAMILIA,https://www.saoborja.rs.gov.br/images/conteudo/Licitacoes/2020/RANKING_TP_282020.pdf,Fornecedor aparece em processo oficial de medicamentos; item 2026 não individualizado.
17417928000179,VENTISOL DA AMAZONIA INDUSTRIA DE APAREL,EQUIPAMENTOS E MATERIAL PERMANENTE,MANUTENÇÃO DA EDUCAÇÃO INFANTIL,24359.2,1,ELETRODOMESTICOS_E_EQUIPAMENTOS,CURRENT_ACTION+SUPPLIER_NAME,MEDIA_ALTA,Portal PMSB /despesas,Família ampla pela denominação do fabricante; item 2026 não aberto.
46728867000169,RIKA COMERCIAL DE PRODUTOS GOVERNAMENTAI,EQUIPAMENTOS E MATERIAL PERMANENTE,MANUTENÇÃO DO RESTAURANTE POPULAR,23914.77,1,EQUIPAMENTOS_UTENSILIOS_E_MOBILIARIO_ALIMENTACAO,CURRENT_2026_EXACT_OBJECT,ALTA,https://www.saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/6511-extrato-de-contrato-no-86-2026-dcl-smpop,"Contrato 86/2026, Programa Prato Gaúcho, R$23.914,77 coincide com o par."
00472805000308,TRACADO CONSTRUCOES E SERVICOS LTDA,MATERIAL DE CONSUMO,VIAS URBANAS E RURAIS,23492.0,4,MATERIAIS_INFRAESTRUTURA_VIARIA,CURRENT_ACTION+SUPPLIER_NAME,MEDIA,Portal PMSB /despesas,Família ampla; item 2026 não aberto e pode haver mistura com serviços.
37952262000166,SC COMERCIO DE PNEUS LTDA,MATERIAL DE CONSUMO,"MANUTENÇÃO DE IMÓVEIS, VEÍCULOS E EQUIPA",22540.0,1,PNEUS_E_ITENS_AUTOMOTIVOS,CURRENT_ACTION+SUPPLIER_NAME,MEDIA_ALTA,Portal PMSB /despesas,Família pela denominação do fornecedor e ação; item 2026 não aberto.
11606789000145,FALCAO EPI''S LTDA,MATERIAL DE CONSUMO,MANUT. DAS ATIV. DOS SERV. URBANOS,22449.05,2,EPI_E_MATERIAIS_DE_SEGURANCA,CURRENT_ACTION+SUPPLIER_NAME,MEDIA_ALTA,Portal PMSB /despesas,Família pela denominação empresarial; item 2026 não aberto.
46728867000169,RIKA COMERCIAL DE PRODUTOS GOVERNAMENTAI,EQUIPAMENTOS E MATERIAL PERMANENTE,MANUT.DA.EDUC.INFANT-FUNDEB 30%,21040.0,1,EQUIPAMENTOS_E_UTENSILIOS,CURRENT_ACTION+SUPPLIER_NAME,MEDIA,Portal PMSB /despesas,Família ampla; contrato exato desta ação não reconciliado.
10759369000136,ARGAVALE DISTRIBUIDORA DE MATERIAIS DE C,MATERIAL DE CONSUMO,MANUTENÇÃO DOS SERVIÇOS DE SEGURANÇA NO,20769.0,3,MATERIAIS_DE_CONSTRUCAO_E_MANUTENCAO,CURRENT_ACTION+SUPPLIER_NAME,MEDIA,Portal PMSB /despesas,Família pela denominação empresarial; item 2026 não aberto.
17417928000179,VENTISOL DA AMAZONIA INDUSTRIA DE APAREL,EQUIPAMENTOS E MATERIAL PERMANENTE,MANUTENÇÃO DO ENSINO FUNDAMENTAL - MDE,20025.0,1,ELETRODOMESTICOS_E_EQUIPAMENTOS,CURRENT_ACTION+SUPPLIER_NAME,MEDIA_ALTA,Portal PMSB /despesas,Família ampla pela denominação do fabricante; item 2026 não aberto.
53800800000153,NOBRE HORSE LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,MANUT.DA.EDUC.INFANT-FUNDEB 30%,20000.0,1,EQUIPAMENTOS_E_MATERIAIS_EDUCACAO_INFANTIL,CURRENT_2026_EXACT_OBJECT,ALTA,https://www.saoborja.rs.gov.br/images/DOESB/2026/Fevereiro/doesb12_02_2026.pdf,"Contrato 29/2026: R$20.000,00 coincide com o par."
19498639000177,BERTA INDUSTRIA E COMERCIO DE FRALDAS LT,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,18000.0,1,FRALDAS_E_PRODUTOS_DE_HIGIENE,CURRENT_ACTION+SUPPLIER_NAME,MEDIA_ALTA,Portal PMSB /despesas,Família pela denominação empresarial e ação; item 2026 não aberto.
44449147000139,DM DISTRIBUIDORA DE DESCARTAVEIS LTDA,MATERIAL DE CONSUMO,MANUTENÇÃO DA EDUCAÇÃO BÁSICA - SALÁRIO,17476.0,1,DESCARTAVEIS_E_MATERIAIS_DE_CONSUMO,CURRENT_ACTION+SUPPLIER_NAME,MEDIA_ALTA,Portal PMSB /despesas,Família pela denominação empresarial; item 2026 não aberto.
46388826000170,OCIAN  COMERCIAL FARMACEUTICA UNIPESSOAL,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,16496.7,3,MEDICAMENTOS_OU_PRODUTOS_FARMACEUTICOS,CURRENT_ACTION+SUPPLIER_NAME,MEDIA_ALTA,Portal PMSB /despesas,Família indicada por denominação e ação; item 2026 não aberto.
24802687000309,"HS COMERCIO, LOCACAO E MANUTENCAO DE EQU",EQUIPAMENTOS E MATERIAL PERMANENTE,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,16302.0,1,EQUIPAMENTO_SAUDE,CURRENT_ACTION+SUPPLIER_NAME,MEDIA,Portal PMSB /despesas,Família ampla; item e instrumento 2026 não abertos.
40214888000180,CLS SERVICOS E ASSESSORIA LTDA.,EQUIPAMENTOS E MATERIAL PERMANENTE,PRÓ-INFÂNCIA,15589.9,1,MOBILIARIO_E_EQUIPAMENTOS_EDUCACIONAIS,CURRENT_2026_FAMILY_OBJECT,ALTA_FAMILIA,https://www.saoborja.rs.gov.br/images/DOESB/2026/Fevereiro/doesb04_02_2026.pdf,Contrato 42/2026 do mesmo CNPJ: mobiliário/equipamentos para EMEI; valor do par não coincide integralmente com o contrato.
